C;D;E;F;G;H;AW;AX;BB;BC;BD;BE;BF;BM;BN;BO;BP;BQ;BR;BS;BT;BU;BV;BW;BX;BY;BZ;CC;CB;CA;CD;CE;CF;CG;CH;CI;CJ;CK;CL;CM;CN;CO;CP;CQ;CR;CS;CT;CU;CV;CW;CX;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;EC;ED;EE;EF;EG;EH;EI;EJ;EK;EL;EM;EN;EO;EP;EQ;ER;ES;ET;EU;EV;EW;EX;EY;EZ;FA;FB;FC;FD;FE;FF;FG;FH;FI;FJ;FK;FL;FM;FN;FO;FP;FQ;FR;FS;FT;FU;FV;FW;FX;FY;FZ;HE;HF;HG;HH;HI;HJ;HK;HL;HM;HN;HO;HP;HQ;HR;HS;HT;HU;HV;HW;HX;HY;HZ;IA;IB;IC;ID;IE;IF;IG;IH;II;IJ;IK;IL;IM;IN;IO;IP;IQ;IR;IS;IT;IU;IV;IW;IX;IY;IZ;JA;JB;JC;JD;JE;JF;JG;JH;JI;JJ;JK;JL;JM;JN;JO;JP;JQ;JR;JS;JT;JU;JV;JW;JX;JY;JZ;KA;KB;KC;KD;KE;KF;KG;KH;KI;KJ;KK;KL;KM;KN;KO;KP;KQ;KR;KS;KT;KU;KV;KW;KX;KY;KZ;LA;LB;LC;LD;LE;LF;LG;LH;LI;LJ;LK;LL;LM;LN;LO;LP;LQ;LR;LS;LT;LU;LV;LW;LX;LY;LZ;MA;MB;MC;MD;ME;MF;MG;MH;MI;MJ;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ
0;-605;-568;-227;-341;-14;-324;-317;3;2;2;2;24;19;29;-32;-82;0;-26;-8;2;-23;-51;-26;18;-203;20;-67;215;-13;-39;-143;0;0;50;35;15;-20;-10;-106;126;4416;2;-28;193;19;30044;17674;17;27;16;-13;-16;-157;-292;94;104;32;80;62;24;199;196;-49;-610;-317;-3;207;-2;-39;-16;3;-103;91;60;45;100;-10;-17;7;347;-14;204;134;23;119;20;61;4;-8;-17;-4;-2;27;11;132;-6;3;-32;12;196;396;248;-73;-264;83;130;-1420702;33296;3769014;2;-33;2;2;50;26;42;-233;2;-605;28;-44;-38;-20;-12;-662;-140;33;22;-95;-61;-7;0;-272;-51;-6;8;-17;-28;-21;0;0;7;-9;-30;-12;0;19;15;29;21;-571;1732;-25;218;-71;-224;170;1800;-625;439;735;-36;82;-69;-131;-5;-155;42;-186;154;-162;-141;-1;0;0;-271;216;35;132;43;11;18;-182;28;0;-43;-27773432;5934686;-12974012;1;-3;-2;-13;-110;-10;9;7;-2;2;-57;-15;0;-4;2;1;67;8783967;121;-2;-17;0;5;-5;-449;198;30;56;112;-45;78;7;17;-29;-38;-22;-18;0;3;2;551;297;-99;3946;3071;-2140;283;122;-48;-74679;-3950;-7588;-8289;-4151;-8023;-11897;-7963;-13248;-8996;-22216;-13773;-5675;2623;-1094;-473;-3397;829;-352;-845;-247;30;-38;0
0;-151;-444;-187;-257;-15;-147;-148;8;2;1;1;24;46;-1;-50;-30;-24;-32;6;0;-6;-39;14;1;-114;-28;-72;98;-24;-22;-80;1;0;-40;-40;0;11;1;-22;-1;2079;2;-44;169;-22;40600;18255;25;-5;42;7;-16;-175;-257;96;40;14;41;82;-1;-21;-51;-35;-243;-148;-63;35;0;-6;-11;-19;-75;26;-81;-3;101;-63;-53;-10;73;-27;89;-8;19;64;37;-2;1;-9;-12;-9;-1;39;2;24;-9;3;-40;52;-52;108;14;-13;503;324;544;-376264;989036;698857;-1;-19;2;1;32;20;31;-78;6;-151;-311;-9;-21;4;-54;-586;62;44;29;-47;7;-5;1;-146;9;-13;1;-19;-8;5;-2;0;-9;-5;-6;3;1;46;8;-1;-6;-464;1208;83;92;-14;-126;1041;2283;-190;424;1668;263;-125;-34;-93;-8;-88;-92;8;-57;-40;65;0;1;1;-200;-37;-64;-34;-29;-13;13;-200;-19;3;-61;-3536756;2974816;1672055;0;-1;-2;-1;-42;-4;1;2;-20;-22;-4;2;0;4;1;-5;13;2689972;59;-15;-23;1;3;-5;-432;136;46;35;55;-16;23;2;19;-9;-29;-20;-8;-3;0;-2;141;538;-343;4553;-2176;255;110;149;-398;-33083;-2410;-1673;-733;-2818;-2869;-3376;-4010;-8418;-6947;-9616;-5110;-627;-854;-334;-1570;-991;-2194;1838;-206;-116;9;-21;3
0;-106;-168;-73;-95;-21;-52;-61;4;1;2;-3;-1;-3;1;11;-28;9;0;-9;11;-10;-15;-6;3;-28;-39;-13;1;-6;1;-35;2;0;-33;-16;-17;0;-6;-11;-19;-1994;2;-18;29;-4;3773;1389;-5;-4;-3;-3;-2;-50;-51;7;-13;4;12;3;-25;3;-1;-44;-72;-61;-36;-2;-1;-1;-18;-3;-5;13;-34;8;20;-25;-13;-12;-15;-25;3;6;1;-19;1;21;1;-14;-2;-5;5;2;1;-1;0;-2;-26;10;18;29;47;-18;-383;260;139;-430908;872472;-41242;1;-13;1;2;2;0;3;-52;0;-106;-62;-2;-26;13;-2;-183;9;21;6;-33;-3;-1;0;-56;5;-2;-1;-3;-1;-2;3;-1;0;-3;-5;-6;-2;-3;-4;1;0;-176;2457;18;211;-357;-441;2342;4229;-671;753;2803;826;-68;20;-31;-42;-23;-9;-34;3;16;-8;1;3;3;-76;-51;-21;5;-7;-25;1;-64;-13;0;-2;-841271;-606164;-4012580;1;-2;0;-23;-9;-1;-3;2;-3;1;4;-2;0;1;-3;0;-23;230707;15;-3;11;0;0;-1;-101;-6;-32;10;16;-6;2;-1;18;-5;-3;-5;1;-2;0;1;17;5;161;1103;-630;309;57;33;-111;-6206;-447;-81;-323;327;-259;-1556;-1449;-785;-1532;-10342;-2950;-1707;-1505;-220;-418;-553;193;-3572;244;-42;2;-10;0
-1;-153;-576;-256;-320;-12;-103;-150;8;1;1;1;-11;-2;5;-6;-21;-4;1;-13;10;5;-32;2;4;-135;-76;-61;60;13;-25;-124;1;0;-61;-101;40;3;-18;-100;37;-2326;2;-133;193;-24;96882;14605;33;116;99;-11;1;-212;-320;33;73;4;56;29;17;-116;-129;-183;-240;-150;-124;56;-1;1;-6;7;-87;66;-148;-24;57;-102;-69;-33;-175;-78;-4;-91;-2;7;-7;0;-1;-4;-8;6;6;0;-19;-49;0;-1;-81;34;-67;8;67;-176;1111;224;247;-242668;1048697;466205;4;-8;1;1;7;1;5;-67;3;-153;-430;2;-23;-26;20;-578;-50;28;30;-32;-7;0;-1;-116;-7;19;-4;-16;-8;2;-2;1;-5;3;-9;10;-4;-2;0;5;1;-586;869;10;131;163;-100;861;1934;-119;428;1388;562;103;-109;-158;-245;-59;-50;25;-60;-107;74;1;2;2;-224;195;64;95;54;-9;-7;-174;7;10;-30;-10374774;1155150;-15230254;0;2;0;-31;-20;-25;15;11;-12;13;25;-4;0;-5;-2;-1;-15;2865450;76;-31;-4;-2;-3;-1;-532;106;30;16;60;-41;38;1;19;-10;-16;-8;-10;-5;2;4;99;106;731;4438;-1722;44;107;387;-515;-35526;-2298;-1440;-4287;-2359;-1783;-5842;-5645;-4409;-7196;-12382;-6560;-446;-3603;-977;1045;-763;-400;-115;-426;-130;4;15;15
0;-93;-204;-107;-97;3;-84;-76;11;2;2;-2;15;-10;-10;-23;-4;-11;-31;-1;20;8;-13;1;0;-30;-8;-31;18;32;-8;-50;2;0;-29;-12;-17;-7;28;-71;53;10389;2;-68;162;23;76020;40049;188;298;260;-3;-12;-76;-149;22;75;11;50;11;25;-78;-81;-70;-170;-76;-40;144;0;21;0;23;-49;16;-91;53;-33;-34;-20;-14;-10;-30;3;-6;23;4;-18;18;-6;1;0;21;-3;17;9;5;-9;2;-22;-28;-51;60;-8;-83;-1135;139;224;-631342;1054299;695179;-5;-26;2;2;31;28;32;-56;1;-93;-99;-14;10;-4;-19;-227;-31;-34;4;-40;-6;-2;-3;-69;-24;3;6;-12;-9;-1;3;-1;2;-9;-17;3;0;-10;-5;-10;-4;-176;702;106;558;-307;-365;1374;2069;586;327;2328;1144;-122;46;-48;-4;-65;39;-74;-66;9;109;0;1;1;-98;-69;-7;-80;-22;-27;-2;-95;-8;0;-15;-7786378;-800390;-6424099;0;2;0;-5;-37;-4;0;-4;-3;-1;58;-3;0;4;-3;1;5;2216284;28;4;6;-2;1;-2;-225;97;9;27;61;-34;49;3;17;-15;-9;-22;12;2;3;-1;537;45;-266;3655;-630;46;232;135;-216;-20301;-87;-3194;-2568;-2851;-2342;-1079;-5292;-2489;592;-8385;-3093;116;-2680;-924;1644;-797;-616;1011;-3126;-56;9;-4;14
0;-42;-161;-69;-92;-10;-125;-115;3;2;2;4;-11;5;4;0;-14;25;-40;24;-9;-10;-10;15;-9;-32;13;-6;32;42;6;-67;-1;0;11;-2;13;10;-8;-7;25;2007;1;-29;51;9;17450;11095;9;6;20;-6;-8;-42;-82;28;50;-9;32;37;18;-27;-24;12;-93;-115;10;73;-1;-11;-4;-8;-10;-23;-27;8;36;15;13;2;45;-15;-39;84;15;-19;-16;-12;4;11;2;25;-5;5;5;12;0;3;-10;-32;0;33;-39;-47;1469;259;188;-518881;92490;1209670;1;-38;2;2;7;7;7;-90;0;-42;-130;-16;2;4;-4;-313;39;22;16;-74;-4;-3;1;-142;-4;18;2;1;-3;-16;-8;-1;-3;-15;-19;1;1;5;5;4;3;-159;760;169;56;134;-366;188;939;234;483;689;-155;10;37;27;-74;27;-125;68;-42;-54;-33;1;0;0;-107;-1;5;10;10;7;20;-24;8;12;-2;-10993567;3250343;-10032912;0;-1;1;0;-25;-5;-1;0;3;3;-3;-6;0;1;0;0;-22;2208651;-2;6;-1;0;-3;1;-124;78;33;22;23;-22;11;3;15;-14;25;29;-4;-2;1;2;192;66;-110;1544;85;-231;100;273;-178;-9456;-558;-1406;-456;-924;355;-3877;-2230;-273;-129;-5408;-1357;-2018;549;547;-835;-1303;835;-586;-602;-80;16;-4;3
0;-34;-45;-41;-4;20;-72;-76;3;2;2;-2;-7;-12;-2;12;-8;-6;3;10;5;-30;4;10;8;16;52;-31;32;74;-26;-28;1;0;47;30;17;0;5;38;21;8027;2;-4;51;19;16961;10567;-1;13;4;-10;-12;-77;-39;74;73;10;47;64;26;75;77;12;-96;-76;-16;91;-1;-20;-12;9;-28;67;8;-5;26;28;17;11;84;0;30;54;0;-30;-6;48;12;-7;-23;-5;-2;10;9;33;4;2;4;56;15;72;63;18;-349;110;153;-27508;-68475;1296511;0;-25;2;2;-10;-8;-9;-52;-2;-34;-47;-1;-7;5;7;-261;30;24;6;-32;-6;0;1;-83;8;6;-2;-9;-13;4;-3;-2;-3;-12;-10;5;-1;-12;-12;-2;-2;-37;1911;114;51;138;-42;185;2358;-60;684;1613;900;-13;-29;-19;-5;-33;27;32;70;-78;11;0;0;1;-89;-21;-29;-32;-24;-18;-4;-43;-8;0;-21;-2015854;-64285;-1916905;1;-3;0;-1;-31;6;0;0;-12;12;6;-2;0;1;-1;1;-11;1019193;12;-17;-4;0;2;1;-116;147;66;24;57;-7;10;1;20;-22;2;-4;5;-6;0;0;161;5;61;1052;101;-315;55;3;-31;-10177;-532;-500;-1781;-2058;-663;-2813;-1163;-914;217;-6014;-746;-1101;-242;-623;172;-840;-2552;-958;876;-51;65;-5;-3
0;0;-25;-24;-1;77;-1;-8;9;3;2;-27;5;-6;-2;0;-1;3;-7;7;-3;1;-2;1;-1;-4;-2;-11;2;9;-3;-10;1;0;-3;-5;2;0;1;-3;3;469;4;-15;9;1;2475;1161;23;46;25;0;0;-16;-8;-3;10;1;16;-4;-6;-6;-9;5;-13;-8;1;5;0;-4;-6;-5;-1;-6;-8;1;10;0;-4;4;7;-1;-6;8;6;0;0;-5;-2;-1;-3;-2;1;1;3;8;4;5;-4;-5;-3;2;-11;7;-232;317;488;48431;-75273;30731;1;-1;3;2;6;-2;4;-1;-1;0;-37;-3;2;-1;1;-14;-30;4;-9;1;-2;2;0;1;-5;2;1;0;0;-2;-2;0;-1;0;-1;1;0;-6;-7;-2;-2;-34;-736;31;76;674;147;-422;-230;1930;-37;1736;1737;-22;-5;10;22;-2;-3;-16;14;-26;-6;2;1;1;-11;-29;-9;-18;-6;0;0;0;0;0;0;606813;50540;1183341;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;1;-2;310222;2;0;1;0;0;0;-24;7;-10;0;17;2;10;0;40;0;-1;2;-3;0;0;1;0;0;0;0;0;0;26;-1;-25;251;0;0;0;0;0;0;0;520;0;-703;0;0;0;0;0;0;0;0;0;0;0;0;0
0;3;17;3;14;23;-1;4;6;2;0;-3;18;-11;10;-17;-7;-8;-8;-4;3;3;-10;-1;1;8;4;-7;-6;13;3;-6;2;0;9;10;-1;-1;-4;9;1;1435;1;-18;22;-1;27957;6881;63;76;46;-2;-1;-36;-53;49;53;13;31;36;22;-9;-9;-13;-5;4;10;16;0;1;8;-11;0;14;-21;-2;11;0;-4;4;12;17;-2;-2;-1;1;2;-5;0;0;0;1;-3;2;3;-8;-1;4;-5;-9;6;25;4;-9;-140;3;336;-54902;162092;18747;-1;-3;2;0;19;21;29;-3;0;3;2;1;-8;-10;-7;15;-9;12;2;3;0;-1;0;5;-7;0;1;-1;0;1;-3;0;0;-1;-2;1;0;-11;-9;10;11;6;71;-75;260;-93;-512;2780;2430;714;207;2966;1671;5;-3;28;13;0;-3;1;-41;-19;25;3;3;4;2;3;0;12;0;0;0;4;0;0;0;1721648;432546;3642368;0;0;0;6;10;1;0;4;3;7;-2;0;0;0;0;2;17;238485;1;0;0;0;0;0;-89;102;53;5;44;3;14;-1;61;-3;3;-3;5;0;4;0;0;0;0;0;0;0;21;2;-58;-485;0;0;0;0;0;0;-581;-164;884;0;0;0;0;0;0;0;0;0;0;0;0;5;4
0;-57;-112;-59;-53;3;-27;-31;6;2;1;1;2;-4;-1;-2;-11;-7;8;-3;0;-7;6;-5;-5;-32;-10;-15;25;-9;-17;-9;0;0;-15;-3;-12;6;-1;-11;5;-717;3;-16;12;-4;2634;1421;18;47;36;1;-2;-37;-44;6;-6;-8;7;14;-13;-9;-16;-2;-41;-31;-19;-23;0;10;-18;-1;-13;29;-42;13;-2;-6;1;-7;-10;-3;0;-3;-4;-4;0;6;-1;6;-5;10;-1;2;-1;-4;-1;-1;-12;6;1;-8;-7;-1;0;243;348;-121366;225609;-109187;0;-4;2;1;10;6;10;-19;2;-57;-55;-8;-3;3;-5;-83;-11;-9;-6;-4;-5;0;-2;-15;-9;-3;0;-2;-3;3;1;0;1;1;-4;-1;0;-4;0;-1;0;-99;683;346;1522;-352;-110;79;2170;-601;179;1388;-95;-13;6;-9;-60;-3;-48;-38;12;47;7;0;2;2;-32;6;3;1;3;6;-3;-21;0;0;-2;-2045277;820355;-1255696;0;-1;0;-1;-10;4;-2;1;-1;1;-2;4;0;0;0;0;-16;419710;24;1;-1;0;0;-1;-81;0;0;1;-1;-10;2;2;20;-1;5;8;-2;-2;2;3;38;12;34;524;-174;290;25;12;-55;-6619;-507;-237;-404;-988;161;76;-1362;-4003;279;-357;4;0;139;-374;-668;749;-77;-493;26;-15;68;-19;9
