D;E;F;G;BC;BD;BE;BF;BG;BH;BI;BJ;BK;CC;CB;CA;CD;CE;CF;CG;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;HS;HT;HW;HX;IE;IF;IG;IH;JR;JS;JT;JU;JV;JW;JX;JY;JZ;KA;KB;KF;KG;KH;KI;KJ;KK;KL;KM;KN;KO;KX;KY;KZ;LA;LB;LQ;LR;LS;LT;LU;LV;LW;LX;LY;LZ;MA;MB;MC;MD;ME;MF;MG;MH;MI;MJ;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ
-605;-568;-227;-341;-371,1;-392,5;2;24;-44;0;-2;-30;-12;-67;215;-13;-39;-143;0,3;-18,9;-13;-16;-157;-292;94;104;32;80;62;24;-662;-140;-95;-61;-17;-28;-21;0;-271;216;35;132;43;11;18;-182;28;0;-43;1;-3;-2;-13;-110;-10;9;7;-2;2;121;-2;-17;0;5;-0,1;2,9;2,3;551;297;-99;3946;3071;-2140;283;122;-48;-74679;-3950;-7588;-8289;-4151;-8023;-11897;-7963;-13248;-8996;-22216;-13773;-5675;2623;-1094;-473;-3397;829;-352;-845;-247;30,4772;-38;-0,3967
-151;-444;-187;-257;-382,6;-412,8;1;24;-16;0;-14;-6;4;-72;98;-24;-22;-80;0,9;-21,7;7;-16;-175;-257;96;40;14;41;82;-1;-586;62;-47;7;-19;-8;5;-2;-200;-37;-64;-34;-29;-13;13;-200;-19;3;-61;0;-1;-2;-1;-42;-4;1;2;-20;-22;59;-15;-23;1;3;-3,3;-0,4;-1,5;141;538;-343;4553;-2176;255;110;149;-398;-33083;-2410;-1673;-733;-2818;-2869;-3376;-4010;-8418;-6947;-9616;-5110;-627;-854;-334;-1570;-991;-2194;1838;-206;-116;9,2404;-21;2,5704
-106;-168;-73;-95;-368;-386,6;-3;-1;-17;-1;-3;-5;-8;-13;1;-6;1;-35;1,6;-20,8;-3;-2;-50;-51;7;-13;4;12;3;-25;-183;9;-33;-3;-3;-1;-2;3;-76;-51;-21;5;-7;-25;1;-64;-13;0;-2;1;-2;0;-23;-9;-1;-3;2;-3;1;15;-3;11;0;0;-2,2;-0,1;0,8;17;5;161;1103;-630;309;57;33;-111;-6206;-447;-81;-323;327;-259;-1556;-1449;-785;-1532;-10342;-2950;-1707;-1505;-220;-418;-553;193;-3572;244;-42;2,2306;-10;-0,2564
-153;-576;-256;-320;-385,6;-411,8;1;-11;-4;1;-2;-9;6;-61;60;13;-25;-124;0,6;-19,9;-11;1;-212;-320;33;73;4;56;29;17;-578;-50;-32;-7;-16;-8;2;-2;-224;195;64;95;54;-9;-7;-174;7;10;-30;0;2;0;-31;-20;-25;15;11;-12;13;76;-31;-4;-2;-3;-4,5;1,9;3,9;99;106;731;4438;-1722;44;107;387;-515;-35526;-2298;-1440;-4287;-2359;-1783;-5842;-5645;-4409;-7196;-12382;-6560;-446;-3603;-977;1045;-763;-400;-115;-426;-130;3,5866;15;14,9927
-93;-204;-107;-97;-419,6;-439,5;-2;15;-22;-1;-7;-17;3;-31;18;32;-8;-50;1,8;-18;-3;-12;-76;-149;22;75;11;50;11;25;-227;-31;-40;-6;-12;-9;-1;3;-98;-69;-7;-80;-22;-27;-2;-95;-8;0;-15;0;2;0;-5;-37;-4;0;-4;-3;-1;28;4;6;-2;1;2,1;2,8;-1;537;45;-266;3655;-630;46;232;135;-216;-20301;-87;-3194;-2568;-2851;-2342;-1079;-5292;-2489;592;-8385;-3093;116;-2680;-924;1644;-797;-616;1011;-3126;-56;8,5674;-4;14,0343
-42;-161;-69;-92;-354,6;-364,8;4;-11;-36;-1;-18;-19;2;-6;32;42;6;-67;-0,7;-21,7;-6;-8;-42;-82;28;50;-9;32;37;18;-313;39;-74;-4;1;-3;-16;-8;-107;-1;5;10;10;7;20;-24;8;12;-2;0;-1;1;0;-25;-5;-1;0;3;3;-2;6;-1;0;-3;-2,2;0,7;2,3;192;66;-110;1544;85;-231;100;273;-178;-9456;-558;-1406;-456;-924;355;-3877;-2230;-273;-129;-5408;-1357;-2018;549;547;-835;-1303;835;-586;-602;-80;16,2512;-4;3,244
-34;-45;-41;-4;-349,9;-362,7;-2;-7;-23;-2;-15;-10;4;-31;32;74;-26;-28;0,5;-20,8;-10;-12;-77;-39;74;73;10;47;64;26;-261;30;-32;-6;-9;-13;4;-3;-89;-21;-29;-32;-24;-18;-4;-43;-8;0;-21;1;-3;0;-1;-31;6;0;0;-12;12;12;-17;-4;0;2;-5,6;0,4;-0,3;161;5;61;1052;101;-315;55;3;-31;-10177;-532;-500;-1781;-2058;-663;-2813;-1163;-914;217;-6014;-746;-1101;-242;-623;172;-840;-2552;-958;876;-51;64,9293;-5;-3,4184
0;-25;-24;-1;-440,9;-465,6;-27;5;-1;0;-1;-1;1;-11;2;9;-3;-10;0,8;-18,1;0;0;-16;-8;-3;10;1;16;-4;-6;-14;-30;1;-2;0;0;-2;-2;-11;-29;-9;-18;-6;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;2;0;1;0;0;0;-0,2;0,6;0;0;0;0;0;0;26;-1;-25;251;0;0;0;0;0;0;0;520;0;-703;0;0;0;0;0;0;0;0;0;0;0;0;0
3;17;3;14;-402,6;-429;-3;18;-2;0;-1;-2;1;-7;-6;13;3;-6;1,7;-18;-2;-1;-36;-53;49;53;13;31;36;22;15;-9;3;0;-1;0;1;-3;2;3;0;12;0;0;0;4;0;0;0;0;0;0;6;10;1;0;4;3;7;1;0;0;0;0;0;3,9;0,4;0;0;0;0;0;0;21;2;-58;-485;0;0;0;0;0;0;-581;-164;884;0;0;0;0;0;0;0;0;0;0;0;0;5;3,934
-57;-112;-59;-53;-440,6;-475,6;1;2;-3;0;2;-4;-1;-15;25;-9;-17;-9;0;-18,1;1;-2;-37;-44;6;-6;-8;7;14;-13;-83;-11;-4;-5;-2;-3;3;1;-32;6;3;1;3;6;-3;-21;0;0;-2;0;-1;0;-1;-10;4;-2;1;-1;1;24;1;-1;0;0;-1,7;2,2;2,7;38;12;34;524;-174;290;25;12;-55;-6619;-507;-237;-404;-988;161;76;-1362;-4003;279;-357;4;0;139;-374;-668;749;-77;-493;26;-15;67,95;-19;9,1004
-25;-23;-18;-5;-418,7;-429,9;3;1;-5;0;1;-6;0;-9;-11;7;25;-23;0;-18,9;-5;-6;-47;-37;26;29;18;38;8;-9;-67;16;-9;-2;-7;-8;-5;0;-4;33;16;10;8;8;2;-19;10;0;3;-1;-3;-2;4;0;-10;0;-5;0;-1;13;-3;-1;0;1;-5,4;-1,9;0,7;118;-63;24;915;-688;464;121;27;-123;-16097;-1083;-1249;-1030;-80;-845;-2601;-1954;-4802;-2155;523;-825;252;-125;619;449;117;-1024;1180;-56;-22;92,9493;9;12,6239
19870;19929;10515;9414;-329,7;-353,1;-183;7333;-224;-3;-164;-110;53;635;7596;3286;955;647;-1,9;-19,8;-127;-41;190;-591;9110;9080;6364;6629;2746;2451;1556;1365;-957;47;-238;-256;16;28;3117;5160;1176;1941;400;1629;1029;3290;481;302;1007;0;6;-33;-70;704;186;71;130;109;156;1600;261;37;47;40;0,8;1,1;-0,2;13243;1033;-4920;86395;33883;-44951;11623;-51;-2386;-421603;-6891;-27963;-57858;-50629;-50506;-77328;-69913;-48267;-29438;414855;-11619;11427;45540;125442;86899;15612;43656;69825;27750;-1971;7,5636;-222;5,2422
-353;-496;-228;-268;-390;-418,4;7;44;-17;-2;-15;0;0;-59;-29;-24;-46;-63;1,3;-19;-22;-8;-244;-250;94;66;4;38;90;28;-403;-40;-53;-26;8;7;-3;-7;-155;14;8;-36;18;1;-22;-85;-5;0;-17;-1;-4;0;5;10;-20;0;2;-15;-1;53;-14;2;1;-2;-0,4;5,1;5,5;283;-1;23;2928;1294;297;137;113;-106;-36661;-2124;-3098;-2856;-2801;-2920;-3355;-7926;-8040;-3717;-4522;-6395;-2619;-3044;1630;519;1686;1741;480;1566;-134;27,7847;10;8,0268
45;115;138;-23;-383,1;-400,4;3;142;-32;-1;-8;-17;-6;7;104;49;29;-56;-0,6;-20,8;12;4;-6;-147;178;150;68;123;110;27;-274;77;-25;-13;-6;-13;4;8;-47;-61;-36;-81;-17;-39;-18;-117;-10;-2;-22;-1;-1;0;-10;-40;-3;-3;0;-12;0;16;2;5;1;1;-0,7;1,9;3,1;927;4;927;3766;533;876;490;570;112;-33074;-62;-2200;-3186;-4711;-4074;-3634;-5461;-2724;-7635;-20085;-5586;-2589;-5291;-1560;-807;-104;364;-2456;-1784;-57;60,2425;-10;-9,953
-37;-151;-102;-49;-394,6;-423,1;-2;-10;-5;1;-2;-10;6;0;28;-16;-17;-18;1,1;-20,8;-16;-1;-69;-58;-15;11;-6;13;-9;-2;-143;28;-14;0;1;4;-6;-3;-20;34;9;24;13;3;1;-16;0;0;8;0;0;0;-1;-13;5;-3;0;3;6;31;5;1;0;0;-4;-3,4;1,3;-33;70;-14;1175;-702;373;0;69;-101;-8412;-227;-155;-1181;2;-489;-1791;-1898;-1115;-1376;-2296;-1024;-707;-693;-201;181;487;1623;-834;-659;6;31,3047;-5;-2,7217
71;71;45;26;-371,1;-387,9;41;56;6;-1;-1;6;2;-7;31;-1;14;-10;0,8;-19,8;-7;-10;-29;-50;54;71;41;63;13;8;-80;65;-4;6;0;3;0;2;18;-30;-3;-29;-8;-4;0;-7;0;0;0;0;2;-1;-2;26;9;0;3;-5;2;-18;-1;3;0;0;0;2,3;-0,4;0;0;0;0;0;0;71;-5;-191;-1008;0;327;-683;432;-213;-453;-598;831;-933;0;0;0;0;0;0;0;0;0;0;0;0;5;17,6696
