a_building, a_floor, a_library, a_branch, a_this, b_approved, b_existing, b_approved, b_sdss, b_average, c_existing, c_number, c_numbeered, c_leaders, c_staff_including, c_director, c_ssss, d_read, d_number, c_general, d_numberxx, d_average, c_philosophy, d_philosophical, d_philosophy, c_religious, d_religious, d_religious, c_natural, d_sss, d_Natural, c_Applied, d_Applied, d_Applied1, c_Society, d_Social, d_Social1, c_Histo, d_History, d_History1, c_language, d_language, d_language1, c_art, d_art, d_aer, d_books, d_Average, c_Total, c_Total1, b_Number, d_Number6, e_Average, d_Number, e_average, b_number33, a_unsure, a_others, a_school, a_student, a_dorm, a_practice, a_Landscape, a_campus, a_campus, a_special, a_teacher, a_administrative, a_sport
0,2,1,1,0,35,23,12,559,24.3,0,2,1,0,1,1,16915,39,0.07,669,0,0,1869,4,0.01,319,0,0,769,0,0,1958,0,0,2227,4,0.01,1794,0,0,5799,31,0.05,1511,0,0,14,0.02,60,6,40,0,0,0,0,599,0,0,0,1,0,0,0,1,1,0,0,0,0
0,2,1,1,1,35,23,12,559,24.3,0,2,1,0,1,1,16915,39,0.07,669,0,0,1869,4,0.01,319,0,0,769,0,0,1958,0,0,2227,4,0.01,1794,0,0,5799,31,0.05,1511,0,0,14,0.02,60,6,40,0,0,0,0,599,0,1,0,1,0,0,0,0,0,0,1,1,1
1,1,0,0,0,57,57,0,1707,29.95,126,2,1,0,1,3,35898,4306,2.27,694,12,0.01,2141,41,0.02,426,26,0.01,2720,122,0.06,4447,148,0.08,4170,77,0.04,4059,212,0.11,14206,2505,1.32,3035,1163,0.61,1239,0.65,2519,113,190,456,2.4,1854,9.76,1897,0,0,0,1,0,1,1,0,1,1,0,0,0
1,1,0,0,0,33,32,1,919,28.72,112,2,1,0,1,3,30090,4294,4.06,1138,3,0,2251,62,0.06,552,5,0,2543,65,0.06,4699,268,0.25,3117,267,0.25,3238,348,0.33,10187,2973,2.81,2365,303,0.29,1859,1.76,2779,10,139,177,1.27,384,2.76,1058,0,1,0,1,1,0,0,1,0,0,0,0,1
1,1,0,0,0,33,26,7,568,21.85,150,2,1,0,1,3,29367,3405,5.03,1282,16,0.02,1922,108,0.16,459,24,0.04,2317,61,0.09,4250,238,0.35,4848,135,0.2,3170,154,0.23,9169,2552,3.77,1950,117,0.17,1065,1.57,2364,6,109,312,2.86,1131,10.38,677,0,1,1,1,1,1,1,0,1,0,0,0,1
0,2,0,0,0,42,41,1,1803,43.98,72,1,1,0,0,1,42701,7289,3.67,1151,14,0.01,3183,231,0.12,522,37,0.02,2358,201,0.1,3908,683,0.34,7904,484,0.24,4033,411,0.21,15993,5004,2.52,3649,224,0.11,4053,2.04,5474,82,182,511,2.81,1662,9.13,1985,1,0,1,0,0,0,1,1,0,0,0,0,1
0,2,0,0,0,50,31,19,1063,34.29,54,1,0,1,0,3,14168,1939,1.67,649,27,0.02,1299,144,0.12,804,34,0.03,736,38,0.03,1726,101,0.09,2884,68,0.06,1331,63,0.05,3723,1426,1.23,1016,38,0.03,1051,0.91,1208,93,97,72,0.74,276,2.85,1160,0,0,1,1,0,1,0,0,1,0,0,0,0
0,-1,0,0,0,144,125,19,5408,43.26,280,3,1,0,2,5,73525,11580,2.02,3018,178,0.03,5863,310,0.05,3108,90,0.02,5600,727,0.13,8082,1303,0.23,9912,1125,0.2,8103,1005,0.18,23350,4740,0.83,6489,2102,0.37,4133,0.72,3079,235,322,559,1.74,2769,8.6,5730,0,1,1,1,1,1,1,1,1,1,1,0,1
0,2,0,0,0,68,60,8,2340,39,42,1,0,1,0,1,24266,3055,1.23,823,5,0,1700,352,0.14,705,12,0,2322,55,0.02,4750,306,0.12,3294,268,0.11,1647,155,0.06,6980,1064,0.43,2045,838,0.34,726,0.29,2200,76,134,24,0.18,345,2.57,2474,1,0,1,1,0,1,0,0,1,0,0,0,1
1,1,0,0,0,30,30,0,855,28.5,240,2,1,0,1,3,34519,3191,3.29,1386,5,0.01,2004,51,0.05,798,5,0.01,2646,33,0.03,3077,25,0.03,3805,15,0.02,4387,83,0.09,12503,2869,2.96,3913,105,0.11,1117,1.15,2718,107,115,115,1,512,4.45,970,0,1,1,1,0,1,1,0,1,1,1,0,0
0,1,0,0,0,51,51,0,1906,37.37,250,3,1,1,1,3,48730,2209,1.07,5849,5,0,3474,37,0.02,968,5,0,3143,125,0.06,4762,207,0.1,6111,65,0.03,6025,84,0.04,14557,1606,0.78,3841,75,0.04,1242,0.6,3794,142,155,220,1.42,652,4.21,2061,0,1,0,1,1,1,1,1,1,1,0,0,1
0,1,0,0,0,41,41,0,1115,27.2,108,2,0,1,1,1,13867,404,0.33,879,1,0,1827,9,0.01,446,0,0,1012,13,0.01,1377,12,0.01,1452,10,0.01,1491,12,0.01,4666,335,0.27,717,12,0.01,436,0.36,2138,171,105,39,0.37,91,0.87,1220,1,1,0,1,0,1,1,1,1,0,0,0,1
0,1,0,0,0,30,30,0,1012,33.73,224,2,1,0,1,3,41362,5080,4.58,3909,11,0.01,2509,17,0.02,566,35,0.03,2714,120,0.11,4518,83,0.07,5598,60,0.05,4009,490,0.44,14620,3626,3.27,2919,638,0.57,2714,2.45,1914,110,98,215,2.19,814,8.31,1110,0,1,1,1,0,1,1,1,0,1,0,0,1
1,1,0,0,0,54,54,0,1640,30.37,200,3,1,0,2,3,31229,14230,7.75,2318,20,0.01,2098,51,0.03,673,21,0.01,3457,32,0.02,3440,44,0.02,3752,72,0.04,3724,126,0.07,8174,12120,6.6,3593,1744,0.95,2174,1.18,776,125,196,113,0.58,239,1.22,1836,0,1,1,0,1,0,1,0,0,0,0,0,1
1,1,0,0,0,38,22,16,694,31.55,149,2,1,0,1,4,20366,4159,5.6,426,12,0.02,2286,245,0.33,717,32,0.04,1343,93,0.13,2116,92,0.12,2481,114,0.15,2174,147,0.2,7670,2916,3.92,1153,508,0.68,1632,2.2,1104,125,49,27,0.55,103,2.1,743,1,1,1,1,1,1,0,1,0,0,0,0,0
0,1,0,0,0,45,39,6,1637,41.97,72,1,0,0,1,1,16508,3545,2.05,602,1,0,1140,15,0.01,350,2,0,1937,9,0.01,2333,48,0.03,1309,15,0.01,1224,30,0.02,6210,1663,0.96,1403,1762,1.02,1757,1.02,278,48,92,14,0.15,59,0.64,1729,0,1,0,1,0,0,0,0,1,1,0,0,1
1,1,0,0,0,36,36,0,1273,35.36,66,2,1,0,1,3,34481,2611,1.85,1675,23,0.02,2727,342,0.24,966,37,0.03,2926,74,0.05,4281,159,0.11,4901,139,0.1,3889,197,0.14,10430,1519,1.08,2686,121,0.09,1229,0.87,2780,138,139,285,2.05,554,3.99,1412,0,0,0,1,0,1,1,0,1,0,0,0,1
1,1,0,0,0,43,43,0,1382,32.14,120,2,1,0,1,3,36412,4146,2.71,1194,10,0.01,1813,13,0.01,537,4,0,3173,15,0.01,4712,141,0.09,4034,21,0.01,5356,92,0.06,8753,2647,1.73,6840,1203,0.79,1434,0.94,686,55,146,122,0.84,369,2.53,1528,0,1,1,0,0,1,0,1,1,0,0,0,1
1,1,0,0,0,33,33,0,1056,32,130,2,1,0,1,3,33084,8337,7.08,1803,9,0.01,2258,161,0.14,604,12,0.01,2481,193,0.16,2423,147,0.12,4231,128,0.11,4120,270,0.23,12255,6023,5.12,2909,1394,1.18,3351,2.85,4258,135,121,300,2.48,917,7.58,1177,1,0,1,1,0,0,0,0,0,1,0,0,1
