row_idx,col_idx,log2ratio
1,1,0
1,2,0
1,3,4
1,4,1
1,5,2
1,6,0
1,7,0
1,8,-2
1,9,-2
1,10,-2
1,11,1
1,12,2
1,13,1
1,14,2
1,15,1
1,16,-1
1,17,2
1,18,1
1,19,1
1,20,2
1,21,0
1,22,-3
1,23,0
1,24,-1
1,25,-2
1,26,0
1,27,1
1,28,0
1,29,3
1,30,-2
1,31,0
1,32,1
1,33,2
1,34,-1
1,35,0
1,36,2
1,37,-2
1,38,1
1,39,3
1,40,3
1,41,2
1,42,-3
1,43,1
1,44,1
1,45,0
1,46,0
1,47,-3
1,48,-2
1,49,2
1,50,-2
1,51,-3
1,52,-7
1,53,0
1,54,-1
1,55,0
2,1,-1
2,2,-2
2,3,3
2,4,7
2,5,9
2,6,-3
2,7,-1
2,8,2
2,9,0
2,10,0
2,11,-5
2,12,-5
2,13,-3
2,14,-2
2,15,-3
2,16,-4
2,17,-2
2,18,-5
2,19,-6
2,20,8
2,21,6
2,22,6
2,23,-7
2,24,7
2,25,2
2,26,-7
2,27,7
2,28,7
2,29,0
2,30,3
2,31,-4
2,32,5
2,33,-4
2,34,8
2,35,4
2,36,8
2,37,4
2,38,8
2,39,6
2,40,-2
2,41,0
2,42,-6
2,43,6
2,44,6
2,45,7
2,46,7
2,47,-3
2,48,-2
2,49,8
2,50,-6
2,51,-1
2,52,-7
2,53,4
2,54,7
2,55,4
3,1,-1
3,2,-2
3,3,6
3,4,7
3,5,9
3,6,-2
3,7,-1
3,8,1
3,9,0
3,10,0
3,11,-3
3,12,-4
3,13,-2
3,14,-1
3,15,-2
3,16,-5
3,17,-1
3,18,-4
3,19,-5
3,20,8
3,21,6
3,22,5
3,23,-6
3,24,6
3,25,1
3,26,-7
3,27,7
3,28,7
3,29,2
3,30,0
3,31,-4
3,32,5
3,33,-2
3,34,7
3,35,4
3,36,8
3,37,4
3,38,8
3,39,7
3,40,0
3,41,1
3,42,-7
3,43,7
3,44,6
3,45,6
3,46,6
3,47,-4
3,48,-2
3,49,8
3,50,-7
3,51,-3
3,52,-9
3,53,5
3,54,7
3,55,4
4,1,0
4,2,-1
4,3,6
4,4,4
4,5,5
4,6,-1
4,7,0
4,8,0
4,9,-1
4,10,-1
4,11,0
4,12,0
4,13,0
4,14,2
4,15,0
4,16,-3
4,17,1
4,18,-1
4,19,-1
4,20,4
4,21,2
4,22,0
4,23,-2
4,24,2
4,25,-1
4,26,-3
4,27,3
4,28,3
4,29,2
4,30,-1
4,31,-2
4,32,3
4,33,1
4,34,2
4,35,2
4,36,4
4,37,1
4,38,4
4,39,5
4,40,3
4,41,1
4,42,-5
4,43,4
4,44,3
4,45,2
4,46,3
4,47,-4
4,48,-2
4,49,5
4,50,-4
4,51,-3
4,52,-8
4,53,2
4,54,2
4,55,3
5,1,0
5,2,-1
5,3,8
5,4,6
5,5,6
5,6,0
5,7,0
5,8,0
5,9,-1
5,10,-1
5,11,-2
5,12,-2
5,13,-1
5,14,1
5,15,0
5,16,-5
5,17,2
5,18,-1
5,19,-1
5,20,6
5,21,4
5,22,1
5,23,-1
5,24,3
5,25,0
5,26,-6
5,27,6
5,28,4
5,29,2
5,30,-1
5,31,-6
5,32,4
5,33,-3
5,34,4
5,35,0
5,36,6
5,37,4
5,38,5
5,39,5
5,40,3
5,41,1
5,42,-7
5,43,7
5,44,2
5,45,2
5,46,4
5,47,-7
5,48,-6
5,49,6
5,50,-7
5,51,-4
5,52,-8
5,53,7
5,54,5
5,55,1
6,1,0
6,2,-2
6,3,7
6,4,7
6,5,9
6,6,-2
6,7,-1
6,8,1
6,9,0
6,10,0
6,11,-3
6,12,-4
6,13,-3
6,14,-1
6,15,-3
6,16,-5
6,17,-1
6,18,-4
6,19,-5
6,20,8
6,21,6
6,22,5
6,23,-5
6,24,6
6,25,1
6,26,-7
6,27,7
6,28,7
6,29,1
6,30,-1
6,31,-5
6,32,5
6,33,-2
6,34,7
6,35,3
6,36,8
6,37,5
6,38,8
6,39,7
6,40,1
6,41,0
6,42,-8
6,43,7
6,44,5
6,45,6
6,46,6
6,47,-5
6,48,-3
6,49,8
6,50,-8
6,51,-3
6,52,-8
6,53,6
6,54,7
6,55,4
7,1,-1
7,2,-2
7,3,4
7,4,7
7,5,9
7,6,-3
7,7,-1
7,8,2
7,9,0
7,10,0
7,11,-5
7,12,-5
7,13,-3
7,14,-2
7,15,-2
7,16,-4
7,17,-2
7,18,-5
7,19,-6
7,20,8
7,21,6
7,22,6
7,23,-7
7,24,7
7,25,2
7,26,-7
7,27,7
7,28,7
7,29,1
7,30,3
7,31,-4
7,32,5
7,33,-4
7,34,8
7,35,4
7,36,8
7,37,4
7,38,8
7,39,7
7,40,-2
7,41,0
7,42,-6
7,43,6
7,44,6
7,45,6
7,46,7
7,47,-3
7,48,-2
7,49,8
7,50,-6
7,51,-1
7,52,-7
7,53,4
7,54,6
7,55,4
8,1,-1
8,2,-1
8,3,-6
8,4,-3
8,5,1
8,6,-3
8,7,-1
8,8,0
8,9,0
8,10,0
8,11,-2
8,12,-1
8,13,0
8,14,-1
8,15,-1
8,16,3
8,17,-5
8,18,-3
8,19,-2
8,20,0
8,21,-1
8,22,1
8,23,-3
8,24,1
8,25,-1
8,26,3
8,27,-1
8,28,0
8,29,-1
8,30,2
8,31,4
8,32,0
8,33,2
8,34,0
8,35,3
8,36,-1
8,37,-4
8,38,0
8,39,1
8,40,-5
8,41,0
8,42,3
8,43,-4
8,44,4
8,45,1
8,46,2
8,47,6
8,48,6
8,49,0
8,50,4
8,51,3
8,52,0
8,53,-6
8,54,-3
8,55,3
9,1,-1
9,2,-2
9,3,6
9,4,8
9,5,9
9,6,-2
9,7,-1
9,8,1
9,9,0
9,10,0
9,11,-5
9,12,-5
9,13,-3
9,14,-1
9,15,-2
9,16,-5
9,17,-1
9,18,-5
9,19,-6
9,20,8
9,21,7
9,22,6
9,23,-6
9,24,7
9,25,2
9,26,-8
9,27,7
9,28,7
9,29,1
9,30,2
9,31,-6
9,32,5
9,33,-4
9,34,8
9,35,3
9,36,9
9,37,5
9,38,9
9,39,7
9,40,0
9,41,0
9,42,-8
9,43,7
9,44,5
9,45,6
9,46,7
9,47,-5
9,48,-4
9,49,9
9,50,-8
9,51,-2
9,52,-8
9,53,6
9,54,7
9,55,3
10,1,-1
10,2,-2
10,3,6
10,4,8
10,5,9
10,6,-2
10,7,-1
10,8,2
10,9,0
10,10,0
10,11,-5
10,12,-5
10,13,-3
10,14,-2
10,15,-3
10,16,-6
10,17,0
10,18,-5
10,19,-6
10,20,9
10,21,7
10,22,6
10,23,-6
10,24,7
10,25,2
10,26,-9
10,27,8
10,28,7
10,29,1
10,30,1
10,31,-7
10,32,5
10,33,-5
10,34,8
10,35,3
10,36,9
10,37,6
10,38,9
10,39,6
10,40,0
10,41,0
10,42,-9
10,43,8
10,44,4
10,45,6
10,46,7
10,47,-6
10,48,-5
10,49,9
10,50,-9
10,51,-2
10,52,-8
10,53,7
10,54,8
10,55,3
11,1,0
11,2,-1
11,3,1
11,4,0
11,5,2
11,6,-1
11,7,0
11,8,0
11,9,-1
11,10,-1
11,11,1
11,12,1
11,13,0
11,14,0
11,15,0
11,16,0
11,17,-1
11,18,0
11,19,1
11,20,1
11,21,0
11,22,-1
11,23,-1
11,24,0
11,25,-2
11,26,0
11,27,1
11,28,1
11,29,0
11,30,1
11,31,2
11,32,2
11,33,2
11,34,0
11,35,3
11,36,1
11,37,-2
11,38,2
11,39,4
11,40,1
11,41,0
11,42,-1
11,43,0
11,44,2
11,45,1
11,46,1
11,47,1
11,48,1
11,49,1
11,50,0
11,51,-2
11,52,-3
11,53,-2
11,54,-1
11,55,3
12,1,-1
12,2,-2
12,3,6
12,4,8
12,5,9
12,6,-2
12,7,-1
12,8,2
12,9,0
12,10,0
12,11,-4
12,12,-5
12,13,-3
12,14,-1
12,15,-2
12,16,-5
12,17,0
12,18,-4
12,19,-6
12,20,8
12,21,7
12,22,6
12,23,-6
12,24,6
12,25,2
12,26,-8
12,27,7
12,28,7
12,29,2
12,30,1
12,31,-6
12,32,5
12,33,-3
12,34,8
12,35,3
12,36,9
12,37,5
12,38,9
12,39,7
12,40,1
12,41,0
12,42,-8
12,43,7
12,44,5
12,45,6
12,46,6
12,47,-5
12,48,-5
12,49,9
12,50,-8
12,51,-3
12,52,-9
12,53,6
12,54,7
12,55,4
13,1,-1
13,2,-2
13,3,5
13,4,8
13,5,9
13,6,-3
13,7,-1
13,8,2
13,9,0
13,10,0
13,11,-5
13,12,-5
13,13,-3
13,14,-2
13,15,-3
13,16,-5
13,17,-1
13,18,-5
13,19,-6
13,20,8
13,21,7
13,22,7
13,23,-7
13,24,7
13,25,3
13,26,-8
13,27,7
13,28,7
13,29,1
13,30,1
13,31,-6
13,32,5
13,33,-4
13,34,8
13,35,3
13,36,9
13,37,6
13,38,9
13,39,6
13,40,-1
13,41,0
13,42,-8
13,43,7
13,44,5
13,45,6
13,46,7
13,47,-5
13,48,-3
13,49,8
13,50,-8
13,51,-2
13,52,-8
13,53,6
13,54,8
13,55,4
14,1,-1
14,2,-2
14,3,7
14,4,9
14,5,9
14,6,-2
14,7,-1
14,8,1
14,9,0
14,10,0
14,11,-4
14,12,-5
14,13,-3
14,14,-1
14,15,-2
14,16,-6
14,17,0
14,18,-4
14,19,-5
14,20,8
14,21,7
14,22,5
14,23,-5
14,24,6
14,25,2
14,26,-9
14,27,8
14,28,6
14,29,2
14,30,1
14,31,-7
14,32,5
14,33,-4
14,34,7
14,35,2
14,36,9
14,37,6
14,38,8
14,39,7
14,40,2
14,41,0
14,42,-9
14,43,8
14,44,4
14,45,5
14,46,6
14,47,-7
14,48,-6
14,49,9
14,50,-9
14,51,-3
14,52,-9
14,53,8
14,54,8
14,55,3
15,1,-1
15,2,-2
15,3,6
15,4,8
15,5,9
15,6,-2
15,7,-1
15,8,1
15,9,0
15,10,0
15,11,-4
15,12,-4
15,13,-3
15,14,-1
15,15,-2
15,16,-5
15,17,-1
15,18,-4
15,19,-5
15,20,8
15,21,6
15,22,5
15,23,-6
15,24,6
15,25,1
15,26,-7
15,27,7
15,28,7
15,29,2
15,30,1
15,31,-5
15,32,6
15,33,-3
15,34,7
15,35,4
15,36,9
15,37,5
15,38,9
15,39,7
15,40,0
15,41,1
15,42,-8
15,43,7
15,44,6
15,45,6
15,46,7
15,47,-5
15,48,-3
15,49,9
15,50,-7
15,51,-3
15,52,-9
15,53,5
15,54,7
15,55,4
16,1,0
16,2,0
16,3,2
16,4,-1
16,5,-1
