row_idx,col_idx,log2ratio
1,1,-3
1,2,8
1,3,5
1,4,6
1,5,-6
1,6,6
1,7,2
1,8,-6
1,9,6
1,10,8
1,11,7
1,12,0
1,13,1
1,14,-4
1,15,5
1,16,-4
1,17,7
1,18,4
1,19,-9
1,20,4
1,21,8
1,22,4
1,23,8
1,24,6
1,25,-3
1,26,0
1,27,0
1,28,-6
1,29,6
1,30,5
1,31,6
1,32,7
1,33,-4
1,34,-2
1,35,6
1,36,7
1,37,-6
1,38,-2
1,39,-2
1,40,-7
1,41,4
1,42,1
1,43,0
1,44,-2
1,45,-8
1,46,7
1,47,-2
1,48,-1
1,49,-1
1,50,5
1,51,0
1,52,-2
1,53,-2
1,54,4
1,55,-1
1,56,7
1,57,6
1,58,8
1,59,7
1,60,7
1,61,7
1,62,-3
1,63,2
1,64,5
1,65,6
1,66,-2
1,67,-7
1,68,-3
1,69,-8
1,70,3
1,71,7
1,72,-8
1,73,-8
1,74,-8
1,75,-8
2,1,0
2,2,4
2,3,0
2,4,1
2,5,-2
2,6,1
2,7,-1
2,8,-1
2,9,2
2,10,4
2,11,4
2,12,-1
2,13,-2
2,14,1
2,15,3
2,16,1
2,17,2
2,18,1
2,19,-4
2,20,3
2,21,3
2,22,-1
2,23,4
2,24,4
2,25,-1
2,26,1
2,27,1
2,28,-2
2,29,2
2,30,4
2,31,4
2,32,3
2,33,-2
2,34,-1
2,35,1
2,36,4
2,37,-2
2,38,1
2,39,-2
2,40,-5
2,41,0
2,42,3
2,43,0
2,44,2
2,45,-3
2,46,2
2,47,2
2,48,-1
2,49,-2
2,50,4
2,51,-1
2,52,-3
2,53,-3
2,54,4
2,55,-1
2,56,2
2,57,1
2,58,2
2,59,1
2,60,1
2,61,2
2,62,1
2,63,2
2,64,1
2,65,0
2,66,0
2,67,-2
2,68,1
2,69,-3
2,70,1
2,71,1
2,72,-2
2,73,-2
2,74,-2
2,75,-3
3,1,-1
3,2,6
3,3,2
3,4,4
3,5,-4
3,6,5
3,7,1
3,8,-5
3,9,5
3,10,7
3,11,6
3,12,-1
3,13,1
3,14,-3
3,15,5
3,16,-4
3,17,6
3,18,2
3,19,-7
3,20,3
3,21,6
3,22,2
3,23,6
3,24,6
3,25,-4
3,26,0
3,27,1
3,28,-4
3,29,4
3,30,6
3,31,5
3,32,6
3,33,-2
3,34,0
3,35,4
3,36,6
3,37,-4
3,38,-1
3,39,-2
3,40,-5
3,41,2
3,42,2
3,43,0
3,44,0
3,45,-6
3,46,5
3,47,-2
3,48,-1
3,49,0
3,50,3
3,51,0
3,52,-4
3,53,-1
3,54,3
3,55,-1
3,56,6
3,57,5
3,58,7
3,59,6
3,60,6
3,61,6
3,62,-1
3,63,1
3,64,4
3,65,5
3,66,-1
3,67,-6
3,68,-2
3,69,-6
3,70,3
3,71,5
3,72,-6
3,73,-6
3,74,-6
3,75,-6
4,1,-3
4,2,8
4,3,5
4,4,5
4,5,-6
4,6,6
4,7,2
4,8,-7
4,9,7
4,10,8
4,11,7
4,12,1
4,13,1
4,14,-4
4,15,5
4,16,-4
4,17,7
4,18,3
4,19,-9
4,20,3
4,21,8
4,22,4
4,23,8
4,24,6
4,25,-3
4,26,0
4,27,0
4,28,-6
4,29,6
4,30,5
4,31,6
4,32,6
4,33,-4
4,34,-3
4,35,6
4,36,7
4,37,-6
4,38,-3
4,39,-2
4,40,-7
4,41,4
4,42,1
4,43,0
4,44,-2
4,45,-8
4,46,7
4,47,-2
4,48,-1
4,49,-1
4,50,6
4,51,0
4,52,-2
4,53,-2
4,54,3
4,55,-1
4,56,7
4,57,6
4,58,8
4,59,7
4,60,7
4,61,7
4,62,-3
4,63,2
4,64,5
4,65,6
4,66,-2
4,67,-7
4,68,-4
4,69,-8
4,70,3
4,71,7
