groupSource,source,groupTarget,value,attack,Involved,vuosi
Finland,1200,Russia,1,0,0,1227
Finland,1200,Russia,1,0,0,1292
Finland,1300,Russia,1,0,0,1311
Finland,1300,Russia,1,0,0,1318
Sweden,1000,Civil War,1,0,0,1070
Sweden,1000,Norway,1,0,0,1098
Sweden,1100,Civil War,1,0,0,1120
Sweden,1100,Civil War,1,0,0,1170
Sweden,1100,Norway,1,0,0,1178
Sweden,1100,Finland,1,0,0,1187
Sweden,1200,Russia,1,0,0,1206
Sweden,1200,Civil War,1,0,0,1205
Sweden,1200,Crusade,1,0,0,1217
Sweden,1200,Norway,1,0,0,1225
Sweden,1200,Baltic,1,0,0,1226
Sweden,1200,Civil War,1,0,0,1229
Sweden,1200,Civil War,1,0,0,1234
Sweden,1200,Finland,0,1,0,1236
Sweden,1200,Civil War,1,0,0,1247
Sweden,1200,Civil War,1,0,0,1251
Sweden,1200,Russia,0,1,0,1256
Sweden,1200,Finland,1,0,0,1257
Sweden,1200,Denmark,1,0,0,1275
Sweden,1200,Civil War,1,0,0,1278
Sweden,1200,Civil War,1,0,0,1288
Sweden,1200,Finland,0,1,0,1293
Sweden,1300,Civil War,1,0,0,1304
Sweden,1300,Civil War,1,0,0,1313
Sweden,1300,Civil War,1,0,0,1316
Sweden,1300,Civil War,1,0,0,1317
Sweden,1300,Civil War,1,0,0,1323
Sweden,1300,Denmark,0,1,0,1332
Sweden,1300,Russia,0,1,0,1338
Sweden,1300,Civil War,1,0,0,1339
Sweden,1300,Denmark,1,0,0,1341
Sweden,1300,Civil War,1,0,0,1356
Sweden,1300,Denmark,1,0,0,1360
Sweden,1300,Denmark,1,0,0,1361
Denmark,1000,England,0,1,1,793
Denmark,1000,Norway,1,0,1,1048
Denmark,1100,Civil War,1,0,1,1131
Denmark,1200,Sweden,0,1,1,1274
Denmark,1200,Sweden,0,1,1,1276
Denmark,1200,Norway,1,0,1,1289
Denmark,1300,Norway,1,0,1,1304
Denmark,1300,Baltic,0,1,1,1343
Denmark,1300,Germany,0,1,1,1392
Denmark,1400,Sweden,0,1,1,1497
Denmark,1500,Sweden,0,1,1,1501
Denmark,1500,Baltic,0,1,1,1571
Denmark,1700,Sweden,1,0,1,1788
Finland,1300,Russia,1,0,1,1377
Finland,1300,Russia,1,0,1,1395
Finland,1300,Russia,1,0,1,1399
Finland,1400,Denmark,1,0,1,1437
Finland,1400,Russia,1,0,1,1475
Finland,1700,Russia,0,1,1,1741
Finland,1000,Sweden,1,0,1,300
Finland,1000,Sweden,1,0,1,470
Finland,1000,Iceland,1,0,1,800
Finland,1000,Iceland,1,0,1,800
Finland,1000,Sweden,0,1,1,800
Finland,1000,Sweden,1,0,1,800
Finland,1000,Denmark,1,0,1,800
Finland,1000,Denmark,0,1,1,818
Finland,1000,Norway,1,0,1,1008
Finland,1000,Sweden,1,0,1,1030
Finland,1000,Norway,1,0,1,1030
Finland,1000,Russia,1,0,1,1042
Finland,1000,Sweden,1,0,1,1050
Finland,1000,Sweden,1,0,1,1053
Finland,1000,Baltic,1,0,1,1060
Finland,1100,Sweden,1,0,1,1100
Finland,1100,Russia,1,0,1,1123
Finland,1100,Russia,0,1,1,1142
Finland,1100,Civil War,1,0,1,1143
Finland,1100,Russia,0,1,1,1149
Finland,1100,Sweden,1,0,1,1155
Finland,1100,Russia,1,0,1,1186
Finland,1100,Sweden,0,1,1,1187
Finland,1100,Denmark,1,0,1,1187
Finland,1100,Russia,1,0,1,1191
Finland,1100,Denmark,1,0,1,1191
Finland,1200,Denmark,1,0,1,1202
Finland,1200,Russia,0,1,1,1221
Finland,1200,Norway,0,1,1,1223
Finland,1200,Russia,1,0,1,1226
Finland,1200,Russia,0,1,1,1228
Finland,1200,Civil War,1,0,1,1237
Finland,1200,Sweden,1,0,1,1249
Finland,1200,Germany,0,1,1,1253
Finland,1200,Russia,1,0,1,1256
Finland,1200,Russia,1,0,1,1256
Finland,1200,Sweden,0,1,1,1257
Finland,1200,Sweden,0,1,1,1259
Finland,1200,Norway,0,1,1,1271
Finland,1200,Russia,1,0,1,1278
Finland,1200,Germany,1,0,1,1284
Finland,1200,Russia,1,0,1,1292
Finland,1200,Sweden,1,0,1,1292
Finland,1200,Sweden,1,0,1,1293
Finland,1200,Russia,1,0,1,1294
Finland,1200,Russia,1,0,1,1295
Finland,1300,Russia,1,0,1,1311
Finland,1300,Russia,0,1,1,1314
Finland,1300,Russia,1,0,1,1318
Finland,1300,Baltic,0,1,1,1337
Finland,1300,Russia,1,0,1,1350
Finland,1300,Sweden,1,0,1,1364
Finland,1300,Russia,1,0,1,1377
Finland,1300,Sweden,0,1,1,1380
Finland,1300,Sweden,1,0,1,1387
Finland,1300,Sweden,1,0,1,1396
Finland,1300,Sweden,1,0,1,1380
Finland,1400,Russia,1,0,1,1411
Finland,1400,Civil War,1,0,1,1438
Finland,1400,Civil War,1,0,1,1446
Finland,1400,Denmark,1,0,1,1456
Finland,1400,Russia,1,0,1,1479
Finland,1400,Sweden,1,0,1,1480
Norway,1000,Africa,0,1,1,859
Norway,1000,Sweden,0,1,1,860
Norway,1000,Sweden,0,1,1,870
Norway,1000,Denmark,0,1,1,955
Norway,1000,Denmark,0,1,1,961
Norway,1000,Spain,0,1,1,968
Norway,1000,England,0,1,1,991
Norway,1000,Finland,0,1,1,1007
Norway,1000,Sweden,0,1,1,1016
Norway,1000,Denmark,0,1,1,1048
Norway,1000,England,0,1,1,1066
Norway,1000,England,0,1,1,1066
Norway,1000,England,0,1,1,1098
Norway,1000,Sweden,0,1,1,1099
Norway,1100,England,0,1,1,1101
Norway,1200,Denmark,0,1,1,1256
Norway,1200,England,0,1,1,1261
Norway,1200,Denmark,0,1,1,1288
Norway,1300,Denmark,0,1,1,1304
Norway,1800,Sweden,1,0,1,1814
Russia,1000,Italy,0,1,1,907
Russia,1000,Turkey,0,1,1,920
Russia,1000,Italy,0,1,1,941
Russia,1000,Italy,0,1,1,944
Sweden,1000,Norway,0,1,1,1063
Sweden,1100,Norway,0,1,1,1145
Sweden,1100,Finland,0,1,1,1156
Sweden,1100,Russia,0,1,1,1164
Sweden,1200,Baltic,0,1,1,1220
Sweden,1200,Finland,0,1,1,1249
Sweden,1200,Denmark,1,0,1,1276
Sweden,1200,Russia,0,1,1,1283
Sweden,1300,Russia,0,1,1,1300
Sweden,1300,Russia,1,0,1,1321
Sweden,1300,Denmark,0,1,1,1322
Sweden,1300,Baltic,0,1,1,1325
Sweden,1300,Russia,0,1,1,1348
Sweden,1300,Denmark,0,1,1,1362
Sweden,1300,Germany,0,1,1,1370
Sweden,1300,Norway,1,0,1,1375
Sweden,1300,Denmark,0,1,1,1379
Sweden,1300,Denmark,0,1,1,1384
Sweden,1300,Russia,0,1,1,1396
Sweden,1400,Germany,1,0,1,1403
Sweden,1400,Russia,0,1,1,1411
Sweden,1400,Russia,0,1,1,1444
Sweden,1400,Russia,0,1,1,1448
Sweden,1400,Norway,0,1,1,1450
Sweden,1400,Baltic,1,0,1,1457
Sweden,1400,Denmark,0,1,1,1469
Sweden,1400,Germany,0,1,1,1473
Sweden,1400,Germany,0,1,1,1478
Sweden,1400,Russia,0,1,1,1479
Sweden,1500,Germany,0,1,1,1500
Sweden,1600,Baltic,0,1,1,1600
Sweden,1600,Germany,0,1,1,1630
Sweden,1600,Germany,0,1,1,1654
Sweden,1600,Germany,0,1,1,1666
Sweden,1800,France,0,1,1,1805
Sweden,1800,Norway,0,1,1,1814
Denmark,1000,Africa,0,1,2,859
Denmark,1100,Slavic,0,1,2,1144
Denmark,1200,Baltic,0,1,2,1203
Denmark,1200,Germany,0,1,2,1227
Denmark,1400,Germany,1,0,2,1426
Denmark,1500,Sweden,1,0,2,1501
Denmark,1500,Sweden,0,1,2,1521
Denmark,1500,Iceland,0,1,2,1538
Denmark,1600,Sweden,1,0,2,1611
Denmark,1700,Africa,0,1,2,1770
Denmark,1700,Africa,0,1,2,1784
Denmark,1700,Sweden,1,0,2,1788
Denmark,1700,Turkey,0,1,2,1797
Denmark,1800,England,1,0,2,1807
Denmark,1800,Germany,1,0,2,1848
Denmark,1800,Germany,1,0,2,1864
Denmark,1900,Russia,1,0,2,1939
Finland,1400,Russia,1,0,2,1499
Finland,1500,Russia,1,0,2,1554
Finland,1700,Russia,0,1,2,1788
Finland,1800,Russia,1,0,2,1808
Finland,1200,Norway,0,1,2,1226
Finland,1200,Russia,0,1,2,1240
Finland,1200,Sweden,0,1,2,1275
Finland,1200,Russia,0,1,2,1283
Finland,1300,Russia,1,0,2,1323
Finland,1300,Germany,1,0,2,1344
Finland,1400,Russia,1,0,2,1495
Finland,1500,Denmark,1,0,2,1521
Finland,1500,Sweden,1,0,2,1534
Finland,1500,Russia,1,0,2,1570
Finland,1600,Denmark,1,0,2,1611
Finland,1600,Germany,1,0,2,1618
Finland,1600,Denmark,1,0,2,1674
Finland,1800,Russia,1,0,2,1808
Finland,1800,Baltic,0,1,2,1830
