city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Copenhagen,55.6761,12.5689,Denmark,DK,Hovedstaden,primary,602481,602481
Aarhus,56.1572,10.2107,Denmark,DK,Midtjylland,minor,237551,227100
Odense,55.4004,10.3833,Denmark,DK,Syddanmark,minor,158222,145931
Aalborg,57.0337,9.9166,Denmark,DK,Nordjylland,admin,122219,101616
Esbjerg,55.4670,8.4500,Denmark,DK,Syddanmark,minor,72205,63947
Vejle,55.7090,9.5350,Denmark,DK,Syddanmark,admin,51177,51177
Roskilde,55.6500,12.0833,Denmark,DK,Sjælland,minor,44285,40284
Viborg,56.4333,9.4000,Denmark,DK,Midtjylland,admin,34831,31057
Svendborg,55.0704,10.6167,Denmark,DK,Syddanmark,minor,29180,27553
Hillerød,55.9333,12.3167,Denmark,DK,Hovedstaden,admin,28313,28313
Frederikshavn,57.4337,10.5333,Denmark,DK,Nordjylland,minor,24103,20667
Sorø,55.4330,11.5667,Denmark,DK,Sjælland,admin,7167,7167
Frederiksberg,55.6785,12.5221,Denmark,DK,Hovedstaden,minor,,
Søborg,55.7302,12.5098,Denmark,DK,Hovedstaden,minor,,
Hvidovre,55.6503,12.4758,Denmark,DK,Hovedstaden,minor,,
Rødovre,55.6827,12.4644,Denmark,DK,Hovedstaden,minor,,
Charlottenlund,55.7537,12.5918,Denmark,DK,Hovedstaden,minor,,
Horsens,55.8657,9.8735,Denmark,DK,Midtjylland,minor,,
Slagelse,55.4027,11.3541,Denmark,DK,Sjælland,minor,,
Sønderborg,54.9106,9.7928,Denmark,DK,Syddanmark,minor,,
Randers,56.4607,10.0364,Denmark,DK,Midtjylland,minor,,
Helsingør,56.0294,12.5863,Denmark,DK,Hovedstaden,minor,,
Ringkøbing,56.0864,8.2487,Denmark,DK,Midtjylland,minor,,
Herlev,55.7235,12.4404,Denmark,DK,Hovedstaden,minor,,
Kongens Lyngby,55.7718,12.5060,Denmark,DK,Hovedstaden,minor,,
Kolding,55.4929,9.4681,Denmark,DK,Syddanmark,minor,,
Ballerup,55.7198,12.3520,Denmark,DK,Hovedstaden,minor,,
Taastrup,55.6475,12.3120,Denmark,DK,Hovedstaden,minor,,
Vallensbæk Strand,55.6139,12.3895,Denmark,DK,Hovedstaden,minor,,
Glostrup,55.6666,12.4038,Denmark,DK,Hovedstaden,minor,,
Brøndby,55.6541,12.4215,Denmark,DK,Hovedstaden,minor,,
Frederiksværk,55.9677,12.0215,Denmark,DK,Hovedstaden,minor,,
Holbæk,55.7135,11.7169,Denmark,DK,Sjælland,minor,,
Næstved,55.2249,11.7842,Denmark,DK,Sjælland,minor,,
Dragør,55.5946,12.6690,Denmark,DK,Hovedstaden,minor,,
Albertslund,55.6623,12.3351,Denmark,DK,Hovedstaden,minor,,
Holstebro,56.3595,8.6208,Denmark,DK,Midtjylland,minor,,
Hørsholm,55.8810,12.5011,Denmark,DK,Hovedstaden,minor,,
Hjørring,57.4663,9.9889,Denmark,DK,Nordjylland,minor,,
Struer,56.4862,8.6044,Denmark,DK,Midtjylland,minor,,
Frederikssund,55.8389,12.0676,Denmark,DK,Hovedstaden,minor,,
