field	occupation	n	count	expected	diff
ENVIRONMENTAL SCIENCE	BUS-HUMAN RESOURCES WORKERS	20	812	1040.75193109714	0.780205134132207
ENVIRONMENTAL SCIENCE	BUS-MANAGEMENT ANALYSTS	82	2802	1268.04179939431	2.20970633723461
ENVIRONMENTAL SCIENCE	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	9	502	547.022221328752	0.917695809103714
ENVIRONMENTAL SCIENCE	CMM-COMPUTER OCCUPATIONS, ALL OTHER	10	304	496.812640348244	0.611900695173355
ENVIRONMENTAL SCIENCE	CMM-COMPUTER PROGRAMMERS	11	289	924.781818253331	0.312506143931165
ENVIRONMENTAL SCIENCE	CMM-COMPUTER SUPPORT SPECIALISTS	10	451	630.404135348477	0.715414088695174
ENVIRONMENTAL SCIENCE	CMM-COMPUTER SYSTEMS ANALYSTS	22	555	959.04453516079	0.578700967110928
ENVIRONMENTAL SCIENCE	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	12	452	2321.29744788532	0.194718690795859
ENVIRONMENTAL SCIENCE	CMS-CLERGY	8	243	673.101101284397	0.361015603059202
ENVIRONMENTAL SCIENCE	CMS-COUNSELORS	19	530	1304.0698997075	0.406419932028857
ENVIRONMENTAL SCIENCE	CMS-SOCIAL WORKERS	19	493	1664.49693639314	0.296185585699125
ENVIRONMENTAL SCIENCE	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	129	4303	8730.54786389518	0.492867122096069
ENVIRONMENTAL SCIENCE	EDU-OTHER TEACHERS AND INSTRUCTORS	25	738	714.649269930561	1.03267439155393
ENVIRONMENTAL SCIENCE	EDU-POSTSECONDARY TEACHERS	103	3422	2376.50137640519	1.43993184013059
ENVIRONMENTAL SCIENCE	EDU-PRESCHOOL AND KINDERGARTEN TEACHERS	4	110	594.8628135479	0.184916584958361
ENVIRONMENTAL SCIENCE	EDU-SECONDARY SCHOOL TEACHERS	46	1304	1985.7188316733	0.656689144102623
ENVIRONMENTAL SCIENCE	EDU-SPECIAL EDUCATION TEACHERS	4	96	573.317996579855	0.167446339680057
ENVIRONMENTAL SCIENCE	EDU-TEACHER ASSISTANTS	9	367	446.706905450425	0.821567778608539
ENVIRONMENTAL SCIENCE	ENG-CIVIL ENGINEERS	20	519	701.428365528119	0.739918750803919
ENVIRONMENTAL SCIENCE	ENG-MECHANICAL ENGINEERS	3	63	447.459789549926	0.140794774125666
ENVIRONMENTAL SCIENCE	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	26	959	982.844759237254	0.975739038120568
ENVIRONMENTAL SCIENCE	ENT-DESIGNERS	20	689	1065.56140928975	0.646607500978526
ENVIRONMENTAL SCIENCE	FIN-ACCOUNTANTS AND AUDITORS	25	628	2249.21528573828	0.279208488392371
ENVIRONMENTAL SCIENCE	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	10	311	437.0849168512	0.711532217218734
ENVIRONMENTAL SCIENCE	FIN-PERSONAL FINANCIAL ADVISORS	9	328	670.7191317627	0.489027350596055
ENVIRONMENTAL SCIENCE	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	2	47	447.420847268917	0.105046513337255
ENVIRONMENTAL SCIENCE	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	66	2227	2515.23000730849	0.885406103429515
ENVIRONMENTAL SCIENCE	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	10	241	450.059186807254	0.535485125211348
ENVIRONMENTAL SCIENCE	MED-PHARMACISTS	4	114	600.084324393146	0.189973301027795
ENVIRONMENTAL SCIENCE	MED-PHYSICAL THERAPISTS	1	9	459.103531571517	0.0196034214095302
ENVIRONMENTAL SCIENCE	MED-PHYSICIANS AND SURGEONS	30	850	2028.87012422099	0.418952396140373
ENVIRONMENTAL SCIENCE	MED-REGISTERED NURSES	22	989	3867.19566746657	0.255740874018899
ENVIRONMENTAL SCIENCE	MGR-CHIEF EXECUTIVES AND LEGISLATORS	47	1719	1605.25923659879	1.07085507487389
ENVIRONMENTAL SCIENCE	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	20	528	1096.72496966693	0.481433371723404
ENVIRONMENTAL SCIENCE	MGR-CONSTRUCTION MANAGERS	35	930	597.569302078003	1.55630484492091
ENVIRONMENTAL SCIENCE	MGR-EDUCATION ADMINISTRATORS	40	1348	1719.22706716074	0.784073276734871
ENVIRONMENTAL SCIENCE	MGR-FINANCIAL MANAGERS	18	457	1560.58594990168	0.292838725113982
ENVIRONMENTAL SCIENCE	MGR-FOOD SERVICE MANAGERS	7	362	568.628696908395	0.636619294749237
ENVIRONMENTAL SCIENCE	MGR-GENERAL AND OPERATIONS MANAGERS	53	1474	1309.32710764367	1.12576910032259
ENVIRONMENTAL SCIENCE	MGR-HUMAN RESOURCES MANAGERS	12	326	541.216576268377	0.602346665447187
ENVIRONMENTAL SCIENCE	MGR-MARKETING AND SALES MANAGERS	34	1019	1583.9058858457	0.643346305551432
ENVIRONMENTAL SCIENCE	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	9	211	953.125308447473	0.22137697753897
ENVIRONMENTAL SCIENCE	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	276	8463	4571.33376671487	1.85131964365005
ENVIRONMENTAL SCIENCE	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	10	285	451.091157253984	0.631801345286697
ENVIRONMENTAL SCIENCE	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	37	1156	564.718242857107	2.04703852694999
ENVIRONMENTAL SCIENCE	OFF-CUSTOMER SERVICE REPRESENTATIVES	30	1230	1301.86966083051	0.944795041321831
ENVIRONMENTAL SCIENCE	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	49	1634	1140.08719957009	1.43322370483255
ENVIRONMENTAL SCIENCE	OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT	22	664	443.088518506703	1.49857189312378
ENVIRONMENTAL SCIENCE	OFF-OFFICE CLERKS, GENERAL	10	325	511.753495495236	0.635071382727909
ENVIRONMENTAL SCIENCE	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	31	1260	1567.38786831786	0.8038852574202
ENVIRONMENTAL SCIENCE	PRT-POLICE OFFICERS	16	533	702.775119413002	0.758421841178999
ENVIRONMENTAL SCIENCE	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	20	669	1162.36542949713	0.575550496447084
ENVIRONMENTAL SCIENCE	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	42	1463	1928.85985621056	0.758479158187371
ENVIRONMENTAL SCIENCE	SAL-INSURANCE SALES AGENTS	10	328	615.745611738798	0.532687515342195
ENVIRONMENTAL SCIENCE	SAL-REAL ESTATE BROKERS AND SALES AGENTS	18	402	669.596295993617	0.600361743942252
ENVIRONMENTAL SCIENCE	SAL-RETAIL SALESPERSONS	27	978	1462.10092123076	0.668900474514951
ENVIRONMENTAL SCIENCE	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	26	785	770.687212302034	1.01857146124848
ENVIRONMENTAL SCIENCE	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	39	1140	1732.43823599293	0.658032116998747
ENVIRONMENTAL SCIENCE	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	9	247	541.398306913084	0.456226029609017
ARCHITECTURE	BUS-HUMAN RESOURCES WORKERS	20	1215	2492.97392360044	0.487369718751511
ARCHITECTURE	BUS-MANAGEMENT ANALYSTS	69	2239	3037.41462828028	0.737140059560349
ARCHITECTURE	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	16	743	1310.3142955161	0.567039528258641
