city,lat,lng
Kongsvinger,60.1912,11.9992
Hamar,60.7944,11.0678
Lillehammer,61.1146,10.4674
Gjøvik,60.7957,10.6916
Ringsaker,61.0242,10.8019
Løten,60.8253,11.3908
Stange,60.6494,11.3664
Nord-Odal,60.408176,11.502791
Sør-Odal,60.2575,11.6769
Eidskog,59.9855907,12.0523252
Grue,60.45653,12.05784
Åsnes,60.6536,12.1531
Våler,60.6758482,11.8413468
Elverum,60.8833,11.5667
Trysil,61.31,12.315
Åmot,61.1464,11.4158
Stor-Elvdal,61.57198,11.04759
Rendalen,61.88906,11.078
Engerdal,61.8833,12.0333
Tolga,62.4014,11.0222
Tynset,62.2753,10.8325
Alvdal,62.1094,10.6344
Folldal,62.1992,10.0353
Os,62.4761,11.2431
Dovre,62.035,9.4675
Lesja,62.2106,8.6447
Skjåk,61.8811,8.3693
Lom,61.8108,8.6392
Vågå,61.875,9.0958
Nord-Fron,61.5956,9.7481
Sel,61.77278,9.53415
Sør-Fron,61.5689,9.9233
Ringebu,61.5356,10.3081
Øyer,61.2653,10.4133
Gausdal,61.264802,9.835644
Østre Toten,60.67659,10.81997
Vestre Toten,60.72588,10.61322
Gran,60.4411,10.4956
Søndre Land,60.69944,10.35086
Nordre Land,60.83496,10.07377
Sør-Aurdal,60.82607,9.5464000000001
Etnedal,60.88638,9.6408000000001
Nord-Aurdal,60.92467,9.4144900000001
Vestre Slidre,61.08842,8.98196
Øystre Slidre,61.13377,9.07872
Vang,61.2144,8.5042
Trondheim,63.44,10.4
Steinkjer,64.0147,11.4942
Namsos,64.466291,11.495593
Frøya,63.9705172,8.8887428
Osen,64.2972342,10.5121107
Oppdal,62.5667,9.6
Rennebu,62.8766319,9.8407465
Røros,62.5747,11.3842
Holtålen,62.84372,11.275985
Midtre Gauldal,63.041944444444,10.296944444444
Melhus,63.2856,10.2781
Skaun,63.2494427,10.0577887
Malvik,63.3728,10.7508
Selbu,63.1983,11.1403
Tydal,63.0183,11.815
Meråker,63.4381,11.8494
Stjørdal,63.475,11.1708
Frosta,63.6039,10.7744
Levanger,63.7464,11.2996
Verdal,63.7922,11.4817
Snåase,64.24606,12.38294
Lierne,64.3600142,13.7165103
Raarvihke,64.887972568892,13.552091248002
Namsskogan,64.8719,12.9764
Grong,64.5314,12.62
Høylandet,64.7242,12.3339
Overhalla,64.494,11.95127
Flatanger,64.49288,10.89751
Leka,65.0833,11.6336
Inderøy,63.87826,11.28424
Indre Fosen,63.58897,9.95847
Heim,63.2927,9.0822400000001
Hitra,63.5472,8.8547
Ørland,63.669573,9.491977
Åfjord,63.9778,10.3856
Orkland,63.2302,9.6931
Nærøysund,64.86208,11.22911
Rindal,63.0422,9.2894
Bodø,67.2833,14.3833
Narvik,68.4383,17.4278
Bindal,65.0878,12.37747
Sømna,65.31379,12.16729
Brønnøy,65.473558,12.207735
Vega,65.67539,11.96456
Vevelstad,65.6683,12.5186
Herøy (Nordland),65.9843,12.288
Alstahaug,65.9567,12.5728
Leirfjord,66.0923251,13.0331566
Vefsn,65.837654,11.6591
Grane,65.58521,13.39364
Aarborte,65.5962337,13.9910118
Dønna,66.1069,12.48704
Nesna,66.2578,13.035
Hemnes,66.0767,13.81879
Rana,66.313712,14.141975
Lurøy,66.4319,12.855
Træna,66.5075,12.0308
Rødøy,66.71195,13.28608
Meløy,66.87182,13.70888
Gildeskål,67.03482,14.02698
Beiarn,66.8415543,14.7008014
Saltdal,67.09074,15.37713
Fauske,67.25883,15.39181
Sørfold,67.689084,15.845167
Steigen,67.7983,15.1719
Lødingen,68.4042,15.5714
Evenes,68.48672,16.896562
Røst,67.52,12.0989
Værøy,67.6649,12.6959
Flakstad,68.09162,13.23408
Vestvågøy,68.166672,13.75
Vågan,68.2363,14.55511
Hadsel,68.5241987,15.0004486
Bø,68.6953,14.5794
Øksnes,68.91505,15.08845
Sortland,68.6957,15.405
Andøy,69.3161,16.1253
Moskenes,67.90006,13.04656
Hábmer - Hamarøy,67.963338,15.931941
Tromsø,69.6546,18.9637
Harstad,68.822194,16.502083
Alta,69.9686,23.2714
Vardø,70.3705,31.1095
Vadsø,70.0733,29.7497
Hammerfest,70.6634,23.6821
Kvæfjord,68.634324,15.904909
Dielddanuorri,70.267319,21.601418
Ibestad,68.7878,17.1506
Gratangen,68.731694,17.369743
Loabák - Lavangen,68.801483,17.72286
Bardu,68.8606,18.3505
Salangen,68.87468,17.84235
Målselv,69.1176,18.6211
Sørreisa,69.0919,18.1936
Dyrøy,69.032499,17.572769
Senja,69.3333,17.5
Balsfjord,69.3047,19.2036
Karlsøy,70.0581,19.8959
Lyngen,69.5762,20.217
Storfjord,69.2686,19.96089
Gáivuotna,69.5544,20.5514
Skjervøy,70.0853,20.6594
