city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Stockholm,59.3294,18.0686,Sweden,SE,Stockholm,primary,972647,972647
Gothenburg,57.6717,11.9810,Sweden,SE,Västra Götaland,admin,604829,604829
Malmö,55.5932,13.0214,Sweden,SE,Skåne,admin,324002,324002
Uppsala,59.8498,17.6389,Sweden,SE,Uppsala,admin,165456,165456
Uppsala,59.8601,17.6400,Sweden,SE,Stockholm,,133117,127734
Västerås,59.6173,16.5422,Sweden,SE,Västmanland,admin,128534,128534
Örebro,59.2669,15.1965,Sweden,SE,Örebro,admin,126009,126009
Linköping,58.4094,15.6257,Sweden,SE,Östergötland,admin,115672,115672
Helsingborg,56.0424,12.7210,Sweden,SE,Skåne,minor,113816,113816
Umeå,63.8285,20.2706,Sweden,SE,Västerbotten,admin,90412,90412
Jönköping,57.7833,14.1667,Sweden,SE,Jönköping,admin,89780,83202
Norrköping,58.5919,16.1856,Sweden,SE,Östergötland,minor,88639,82903
Karlstad,59.3808,13.5016,Sweden,SE,Värmland,admin,74141,59266
Sundsvall,62.3902,17.3067,Sweden,SE,Västernorrland,minor,73389,48463
Gävle,60.6670,17.1666,Sweden,SE,Gävleborg,admin,68635,67836
Borås,57.7304,12.9200,Sweden,SE,Västra Götaland,minor,65008,63223
Växjö,56.8837,14.8167,Sweden,SE,Kronoberg,admin,59600,46535
Halmstad,56.6754,12.8587,Sweden,SE,Halland,admin,55657,55209
Luleå,65.5838,22.1915,Sweden,SE,Norrbotten,admin,49123,49123
Östersund,63.1775,14.6414,Sweden,SE,Jämtland,admin,46178,42940
Trollhättan,58.2671,12.3000,Sweden,SE,Västra Götaland,minor,44543,44522
Kalmar,56.6694,16.3218,Sweden,SE,Kalmar,admin,41388,41388
Borlänge,60.4833,15.4167,Sweden,SE,Dalarna,minor,39422,38527
Mölndal,57.6542,12.0139,Sweden,SE,Västra Götaland,minor,37233,37233
Falun,60.6130,15.6470,Sweden,SE,Dalarna,admin,36477,36477
Karlskrona,56.1611,15.5881,Sweden,SE,Blekinge,admin,35212,35212
Nyköping,58.7582,17.0185,Sweden,SE,Södermanland,admin,33916,33916
Kristianstad,56.0337,14.1333,Sweden,SE,Skåne,minor,32188,21339
Skellefteå,64.6500,20.8500,Sweden,SE,Västerbotten,minor,31311,30839
Örnsköldsvik,63.2940,18.7122,Sweden,SE,Västernorrland,minor,27749,25063
Kiruna,67.8494,20.2544,Sweden,SE,Norrbotten,minor,26703,26703
Visby,57.6290,18.3071,Sweden,SE,Gotland,admin,24942,24942
Huskvarna,57.7919,14.2756,Sweden,SE,Jönköping,,22000,22000
Vänersborg,58.3630,12.3300,Sweden,SE,Västra Götaland,minor,21835,21835
Härnösand,62.6323,17.9379,Sweden,SE,Västernorrland,admin,18502,18502
Höganäs,56.1960,12.5769,Sweden,SE,Skåne,minor,16001,16001
Kinna,57.4954,12.6805,Sweden,SE,Västra Götaland,minor,15448,15448
Mariestad,58.7050,13.8280,Sweden,SE,Västra Götaland,minor,14891,14891
Mjölby,58.3321,15.1312,Sweden,SE,Östergötland,minor,13947,13947
Bollnäs,61.3484,16.3883,Sweden,SE,Gävleborg,minor,13398,12145
Mora,61.0096,14.5635,Sweden,SE,Dalarna,minor,12826,12826
Ulricehamn,57.7917,13.4186,Sweden,SE,Västra Götaland,minor,11399,11399
Tibro,58.4190,14.1580,Sweden,SE,Västra Götaland,minor,8614,8614
Habo,57.9066,14.0856,Sweden,SE,Jönköping,minor,8516,8516
Tidaholm,58.1794,13.9599,Sweden,SE,Västra Götaland,minor,8146,8146
Strömstad,58.9441,11.1864,Sweden,SE,Västra Götaland,minor,7466,7466
Haparanda,65.8342,24.1170,Sweden,SE,Norrbotten,minor,6554,6554
Hjo,58.3044,14.2786,Sweden,SE,Västra Götaland,minor,6357,6357
Kungsör,59.4227,16.1059,Sweden,SE,Västmanland,minor,5913,5913
Vårgårda,58.0341,12.8083,Sweden,SE,Västra Götaland,minor,5825,5825
Hjärup,55.6707,13.1410,Sweden,SE,Skåne,,5591,5591
Töreboda,58.7020,14.1184,Sweden,SE,Västra Götaland,minor,4723,4723
Herrljunga,58.0752,13.0238,Sweden,SE,Västra Götaland,minor,4075,4075
