state,"income","hs_grad"
Akaa,13.3,27.5
Alajärvi,31.5,27
Alavieska,43.1,32
Alavus,27.4,24.9
Asikkala,13.4,44.8
Askola,7,45.3
Aura,8.1,14.4
Enonkoski,22.5,79.4
Enontekiö,84.9,25.1
Espoo,3.8,35.6
Eura,12.9,9.7
Eurajoki,13.7,5.6
Evijärvi,35.1,23.5
Forssa,9.8,24.9
Haapajärvi,38.9,42.4
Haapavesi,42.8,42.9
Hailuoto,51.4,36.2
Halsua,36.1,30.6
Hamina,7.4,61.7
Hankasalmi,25.4,53.9
Hanko,0,18.3
Harjavalta,14.8,9.8
Hartola,17.4,49.6
Hattula,12.2,32.7
Hausjärvi,9.6,39.4
Heinola,13.7,49.8
Heinävesi,25.8,76.4
Helsinki,3.4,38.6
Hirvensalmi,18,57.4
Hollola,11.5,44.4
Huittinen,13.4,15.5
Humppila,10.9,22.4
Hyrynsalmi,48.1,75
Hyvinkää,8,37.7
Hämeenkyrö,18,20.6
Hämeenlinna,11.6,33.6
Ii,54.5,43
Iisalmi,37,61.6
Iitti,10.6,52.9
Ikaalinen,19.3,19.4
Ilmajoki,28.8,14.3
Ilomantsi,28.2,100
Imatra,13.4,77.8
Inari,90.1,59.9
Inkoo,2.2,28.9
Isojoki,22.7,7.9
Isokyrö,31.5,11.6
Janakkala,10.9,35.5
Joensuu,27.5,88
Jokioinen,9.7,23.6
Joroinen,23.4,68.2
Joutsa,19,50.5
Juuka,33.9,82.8
Juupajoki,19.6,32.7
Juva,20.6,68.5
Jyväskylä,24,46.8
Jämijärvi,19.8,15.4
Jämsä,20.2,41.1
Järvenpää,6.5,40.2
Kaarina,5.8,12.1
Kaavi,31.2,74.9
Kajaani,43.7,67.2
Kalajoki,44,28.3
Kangasala,16.2,29.6
Kangasniemi,21.5,56
Kankaanpää,19.6,12.4
Kannonkoski,31.3,41.8
Kannus,40.4,28
Karijoki,24.6,5.3
Karkkila,7,31
Karstula,30.3,37.1
Karvia,22.9,14.1
Kaskinen,25.4,0.4
Kauhajoki,25.8,10.2
Kauhava,32.5,19.3
Kauniainen,3.8,36.3
Kaustinen,36.9,25.8
Keitele,33.3,53
Kemi,58.6,34.7
Kemijärvi,68.3,64.1
Keminmaa,59.2,34.4
Kemiönsaari,3.4,15.8
Kempele,50.5,44.4
Kerava,5.8,40.2
Keuruu,24.2,36.1
Kihniö,23.6,20.4
Kinnula,35.1,38.8
Kirkkonummi,2.9,33.4
Kitee,22.5,92
Kittilä,77.6,38.2
Kiuruvesi,38,55.8
Kivijärvi,32.7,39.9
Kokemäki,14.2,11.9
Kokkola,39.8,20
Kolari,74.5,26.7
Konnevesi,27.8,52.4
Kontiolahti,29.2,88.9
Korsnäs,29.4,0
Koski Tl,8.2,20
Kotka,6.4,59.1
Kouvola,10.3,56.7
Kristiinankaupunki,24.3,1.9
Kruunupyy,38.7,18.9
Kuhmo,42.6,85.6
Kuhmoinen,17.2,40.9
Kuopio,30.4,66.8
Kuortane,29.6,23.8
Kurikka,27.7,12.4
Kustavi,7.2,1.7
Kuusamo,60.9,82.2
Kyyjärvi,31.9,34.7
Kärkölä,10.3,41.9
Kärsämäki,41.2,46.9
Lahti,11.5,45.9
Laihia,31.3,8.4
Laitila,10.4,5.1
Lapinjärvi,7.9,51.5
Lapinlahti,35.1,63.7
Lappajärvi,33.6,25.1
Lappeenranta,12.2,71.9
Lapua,31.2,18.7
Laukaa,25.7,49
Lemi,12.3,67.9
Lempäälä,14.8,26.4
Leppävirta,26.4,67.8
Lestijärvi,36.7,35.7
Lieksa,34.6,90.8
Lieto,6.8,13
Liminka,49.4,43.4
Liperi,26.9,84
Lohja,4.2,29.5
Loimaa,10.2,19.2
Loppi,8.9,33.4
Loviisa,6.3,51.7
Luhanka,19.6,46.4
Lumijoki,49.7,41.1
Luoto,39,16
Luumäki,10.9,65.4
Maalahti,30.9,3.7
Marttila,7.5,17.6
Masku,7.4,9.3
Merijärvi,44.4,33.4
Merikarvia,20.2,3.3
Miehikkälä,8.4,66.8
Mikkeli,18.5,62.5
Muhos,49.4,49.3
Multia,25.6,37
Muonio,80.7,25.6
Mustasaari,32.6,5.1
Muurame,22.9,46.1
Mynämäki,8.5,8.2
Myrskylä,8.4,47.9
Mäntsälä,8,42.4
Mänttä-Vilppula,21.9,34.5
Mäntyharju,15.8,58.4
