state,"latitude","longitude","population"
Akaa,61.167145977,23.865888764,16391
Alajärvi,63.001273254,23.817522812,9419
Alavieska,64.166646246,24.307213479,2517
Alavus,62.586161997,23.616600589,11332
Asikkala,61.172512361,25.549142484,8059
Askola,60.530210718,25.598880612,4878
Aura,60.646591846,22.588991955,3959
Enonkoski,62.089260323,28.916904602,1369
Enontekiö,68.385549758,23.635307625,1808
Espoo,60.206376371,24.656728549,292796
Eura,61.130003763,22.135931764,11483
Eurajoki,61.203547237,21.73409618,9452
Evijärvi,63.36690195,23.47395314,2408
Forssa,60.814791352,23.6164073,16800
Haapajärvi,63.748514012,25.319573489,6896
Haapavesi,64.136145958,25.364407256,6667
Hailuoto,65.008596339,24.71112636,949
Halsua,63.460145023,24.171590087,1103
Hamina,60.569688146,27.197900579,19877
Hankasalmi,62.390301152,26.436191366,4782
Hanko,59.82496853,22.966840833,8042
Harjavalta,61.313701934,22.141199348,6869
Hartola,61.583533225,26.019445705,2655
Hattula,61.055937939,24.373688807,9389
Hausjärvi,60.788352094,25.024743189,8175
Heinola,61.2052356,26.034841245,18497
Heinävesi,62.425985285,28.629432602,3196
Helsinki,60.166640739,24.943536799,656920
Hirvensalmi,61.643279652,26.77736901,2156
Hollola,60.988606497,25.512813466,23251
Huittinen,61.177545666,22.699443932,9937
Humppila,60.922008168,23.367072017,2174
Hyrynsalmi,64.677259967,28.490705072,2199
Hyvinkää,60.631016885,24.861124319,46576
Hämeenkyrö,61.640922455,23.195714863,10344
Hämeenlinna,60.996174323,24.464424988,67848
Ii,65.322611335,25.374983789,9848
Iisalmi,63.559688616,27.186983669,21124
Iitti,60.890805141,26.33869215,6625
Ikaalinen,61.768251116,23.074590925,6866
Ilmajoki,62.733541324,22.577475532,12294
Ilomantsi,62.672850851,30.92679732,4749
Imatra,61.171527381,28.769224555,26075
Inari,68.905469786,27.017602211,6862
Inkoo,60.044664081,24.006574663,5321
Isojoki,62.115137142,21.958478468,1925
Isokyrö,63.000103009,22.318211434,4471
Janakkala,60.921846055,24.647706584,16237
Joensuu,62.602079226,29.759679275,76935
Jokioinen,60.805162808,23.490085206,5061
Joroinen,62.179506084,27.826421809,4689
Joutsa,61.74027126,26.110981259,4297
Juuka,63.239859772,29.254325823,4527
Juupajoki,61.797913262,24.369974148,1800
Juva,61.897472595,27.857335654,5932
Jyväskylä,62.241677684,25.749498121,143420
Jämijärvi,61.820221688,22.691024601,1707
Jämsä,61.864256654,25.190231473,19887
Järvenpää,60.481098394,25.10074741,44455
Kaarina,60.407620851,22.371004907,34667
Kaavi,62.974976715,28.480838102,2807
Kajaani,64.226733925,27.728046683,36567
Kalajoki,64.260430362,23.949156078,12400
Kangasala,61.463200572,24.067165047,32214
Kangasniemi,61.988644474,26.642473064,5312
Kankaanpää,61.803357693,22.39516256,12758
