x,y,CI_left,CI_right
2001,4368,6056.2,9307.2
2002,4443,6814.3,9554.8
2003,4527,6772.5,10217.9
2004,4724,6933.1,10321.5
2005,4921,7642.1,10564.7
2006,5003,8250.8,11310.5
2007,5277,8519.9,11262.9
2008,5698,8508.2,11891.5
2009,5895,7927.9,12664.7
2010,6044,9075.3,12987.3
2011,6337,9942.7,12687.7
2012,6615,10593.7,12989.3
2013,6792,11056.7,13045.6
2014,6780,10871.9,12766.9
2015,6814,11047.3,12395.3
2016,6853,11389.9,12576.4
2017,6831,11644.9,12846
2018,6953,11785.1,13047.7
2019,7244,11747.9,13177.8
2020,7352,11495,13643.7
2021,7620,12652.9,14190.3
