x,y,CI_left,CI_right
2001,1613,4633.1,9896.1
2002,1715,5292.9,10740.4
2003,1861,5424,11285.4
2004,1888,5295.5,11569.9
2005,1908,5740.6,11824.4
2006,1950,6060.5,12385.6
2007,2030,6368.1,12850.6
2008,2183,6555.1,13111.5
2009,2219,6760.2,12002.7
2010,2428,7615,13777.6
2011,2486,7941,15034.8
2012,2513,8230.2,16244.3
2013,2582,8128,17016.5
2014,2615,8362.9,17440.2
2015,2654,8380.3,18067.1
2016,2692,8152.4,19335.7
2017,2650,8555.8,20352.4
2018,2771,8764.3,20647.6
2019,2967,8891,20952.7
2020,3086,8278,21137.6
2021,3218,9087.9,22409.9
