x,y,CI_left,CI_right
2001,2665,2112.3,4185
2002,2847,2462.3,4091.3
2003,2917,2531.8,4201
2004,3018,2647.2,4274
2005,3136,2473.9,4346.6
2006,3183,2392.1,4488.5
2007,3314,2625.8,4158.7
2008,3322,2949.7,4173.3
2009,3579,2932.5,4073.7
2010,3901,3364.8,4570.3
2011,3986,3577.9,5111.7
2012,4078,3922.8,5302.9
2013,4002,3528.1,5331.8
2014,4045,4018,5070.9
2015,3987,3985.3,5129.3
2016,4041,4093.9,5172.4
2017,3991,4232.6,5109.3
2018,4004,4389,5078.2
2019,4080,4479.4,5341.6
2020,4073,4177.1,5678.9
2021,4172,4421.3,6182.1
