year,sex,name,n,prop
1880,F,Helen,636,0.00651612638826278
1880,F,Amanda,241,0.00246916109995492
1880,F,Betty,117,0.00119872136387853
1880,F,Dorothy,112,0.00114749395516577
1880,F,Linda,27,0.000276628007048891
1880,F,Deborah,12,0.000122945780910618
1880,F,Jessica,7,7.17183721978607e-05
1890,F,Helen,2312,0.0114647849608997
1890,F,Dorothy,458,0.00227113819727166
1890,F,Amanda,392,0.00194385627364736
1890,F,Betty,216,0.00107110447731589
1890,F,Linda,54,0.000267776119328973
1890,F,Deborah,24,0.000119011608590655
1890,F,Jessica,18,8.9258706442991e-05
1890,F,Patricia,11,5.45469872707167e-05
1900,F,Helen,6343,0.0199606639918181
1900,F,Dorothy,2491,0.00783887971048698
1900,F,Betty,664,0.00208952875462198
1900,F,Amanda,377,0.00118637400676579
1900,F,Linda,126,0.000396506962473448
1900,F,Patricia,89,0.000280072378255055
1900,F,Deborah,26,8.18188970183306e-05
1900,F,Jessica,23,7.2378255054677e-05
1910,F,Helen,10479,0.0249781896712004
1910,F,Dorothy,7318,0.0174434957547327
1910,F,Betty,1389,0.00331087942106091
1910,F,Patricia,316,0.000753231027397587
1910,F,Amanda,278,0.000662652612710535
1910,F,Linda,137,0.000326559021371739
1910,F,Deborah,33,7.8660202228229e-05
1910,F,Jessica,28,6.67419897694064e-05
1920,F,Dorothy,36645,0.0294564957018998
1920,F,Helen,35098,0.0282129645557451
1920,F,Betty,14017,0.011267340708242
1920,F,Patricia,2502,0.00201119258414936
1920,F,Amanda,379,0.000304653073298404
1920,F,Linda,349,0.000280538054303807
1920,F,Deborah,82,6.59143852518974e-05
1920,F,Jessica,43,3.45648605589218e-05
1930,F,Betty,38239,0.0327853532062582
1930,F,Dorothy,30404,0.0260677810320111
1930,F,Helen,19914,0.0170738650003772
1930,F,Patricia,15749,0.0135028773672261
1930,F,Linda,493,0.000422688332087274
1930,F,Amanda,196,0.00016804647685417
1930,F,Deborah,165,0.000141467697351725
1930,F,Jessica,38,3.25804393900942e-05
1940,F,Patricia,32661,0.027650413304301
1940,F,Betty,22074,0.0186875852937491
1940,F,Linda,18368,0.0155501298666116
1940,F,Dorothy,14874,0.0125921511125861
1940,F,Helen,10201,0.00863604501139508
1940,F,Deborah,469,0.000397049809856317
1940,F,Amanda,218,0.000184556201596326
1940,F,Jessica,61,5.16418729237427e-05
1950,F,Linda,80439,0.0457319621154536
1950,F,Patricia,47952,0.0272621371145866
1950,F,Deborah,29073,0.0165288645381293
1950,F,Betty,13614,0.00773996360272735
1950,F,Dorothy,9555,0.00543230147084324
1950,F,Helen,7060,0.0040138198204242
1950,F,Jessica,402,0.000228548947281945
1950,F,Amanda,379,0.000215472763730988
1950,F,Ashley,15,8.52794579410241e-06
1960,F,Linda,37314,0.0179400268278259
1960,F,Patricia,32107,0.0154365771925017
1960,F,Deborah,25269,0.012148966551759
1960,F,Betty,6503,0.00312654752804181
1960,F,Dorothy,5077,0.00244094753188809
1960,F,Helen,4069,0.00195631583755223
1960,F,Amanda,977,0.000469727346593395
1960,F,Jessica,560,0.000269239830186593
1960,F,Ashley,57,2.74047684297068e-05
1970,F,Patricia,13404,0.00731676961673752
1970,F,Deborah,9853,0.00537840428481907
1970,F,Linda,8734,0.00476758175414693
1970,F,Jessica,4023,0.00219601344137086
1970,F,Amanda,3550,0.00193781946727978
1970,F,Betty,1967,0.0010737157442646
1970,F,Dorothy,1802,0.000983648078883991
1970,F,Helen,1715,0.000936157855319669
1970,F,Ashley,932,0.000508745843240776
1980,F,Amanda,35819,0.0201204564808553
1980,F,Jessica,33921,0.0190543009097711
1980,F,Ashley,7296,0.00409835144711801
1980,F,Patricia,5309,0.00298220227970799
1980,F,Linda,2805,0.00157564087296683
1980,F,Deborah,1938,0.00108862460314072
1980,F,Helen,909,0.000510608753485509
1980,F,Dorothy,895,0.00050274459226571
1980,F,Betty,658,0.000369615577330544
1990,F,Jessica,46470,0.0226274308541356
1990,F,Ashley,45553,0.0221809201140185
1990,F,Amanda,34405,0.0167526739517223
1990,F,Patricia,3578,0.00174221965991171
1990,F,Linda,1658,0.000807322581367696
1990,F,Deborah,1094,0.000532696564545392
1990,F,Helen,861,0.000419242908659582
1990,F,Dorothy,596,0.000290207634798038
1990,F,Betty,406,0.00019769177806712
2000,F,Ashley,17997,0.00902349055709788
2000,F,Jessica,15705,0.00787430789571719
2000,F,Amanda,8550,0.00428687249337039
2000,F,Patricia,1392,0.000697932925236442
2000,F,Helen,890,0.000446235850187093
2000,F,Linda,849,0.000425678917762744
2000,F,Deborah,545,0.00027325678466513
2000,F,Dorothy,312,0.000156433241863341
2000,F,Betty,174,8.72416156545553e-05
2010,F,Ashley,6306,0.00322252105804575
2010,F,Jessica,3195,0.00163272356175962
2010,F,Amanda,1655,0.000845745694745594
2010,F,Helen,703,0.000359250286046014
2010,F,Patricia,479,0.000244780778116701
2010,F,Linda,476,0.00024324770434979
2010,F,Deborah,354,0.000180902704495432
2010,F,Dorothy,240,0.000122645901352835
2010,F,Betty,132,6.74552457440595e-05
